Location,Year,Population
Alexandria,2000,129225
Alexandria,2001,130932
Alexandria,2002,130614
Alexandria,2003,129421
Alexandria,2004,128765
Alexandria,2005,128181
Alexandria,2006,127676
Alexandria,2007,129175
Alexandria,2008,132949
Alexandria,2009,137523
Alexandria,2010,140737
Alexandria,2011,144269
Alexandria,2012,147379
Alexandria,2013,149767
Alexandria,2014,151544
Alexandria,2015,153859
Alexandria,2016,156621
Alexandria,2017,158772
Alexandria,2018,158377
Alexandria,2019,159050
Alexandria,2020,158726
Alexandria,2021,154706
Alexandria,2022,155045
Alexandria,2023,155230
