Location,Date,AQI
Alexandria,2000,47.0
Alexandria,2001,45.0
Alexandria,2002,48.0
Alexandria,2003,42.0
Alexandria,2004,41.0
Alexandria,2005,44.0
Alexandria,2006,40.0
Alexandria,2007,42.0
Alexandria,2008,39.0
Alexandria,2009,37.0
Alexandria,2010,40.0
Alexandria,2011,41.0
Alexandria,2012,38.0
Alexandria,2013,36.0
Alexandria,2014,37.0
Alexandria,2015,35.0
Alexandria,2016,34.0
Alexandria,2017,33.0
Alexandria,2018,32.0
Alexandria,2019,31.0
Alexandria,2020,29.0
Alexandria,2021,30.0
Alexandria,2022,31.0
Alexandria,2023,32.0
