Location,Year,Average Air Quality Index
Arlington County,2000,46.4
Arlington County,2001,45.8
Arlington County,2002,44.9
Arlington County,2003,43.2
Arlington County,2004,42.8
Arlington County,2005,44.1
Arlington County,2006,43.5
Arlington County,2007,42.9
Arlington County,2008,41.8
Arlington County,2009,39.5
Arlington County,2010,42.3
Arlington County,2011,41.7
Arlington County,2012,40.9
Arlington County,2013,38.6
Arlington County,2014,37.9
Arlington County,2015,36.8
Arlington County,2016,37.2
Arlington County,2017,36.5
Arlington County,2018,35.9
Arlington County,2019,35.2
Arlington County,2020,33.8
Arlington County,2021,34.6
Arlington County,2022,35.1
Arlington County,2023,34.9
