Location,Year,Average_Temperature_Change_Celsius
Arlington VA,2000,0.08
Arlington VA,2001,0.09
Arlington VA,2002,0.09
Arlington VA,2003,0.09
Arlington VA,2004,0.09
Arlington VA,2005,0.09
Arlington VA,2006,0.09
Arlington VA,2007,0.14
Arlington VA,2008,0.21
Arlington VA,2009,0.12
Arlington VA,2010,-0.29
Arlington VA,2011,0.71
Arlington VA,2012,1.13
Arlington VA,2013,1.69
Arlington VA,2014,0.33
Arlington VA,2015,0.61
Arlington VA,2016,0.65
Arlington VA,2017,1.58
Arlington VA,2018,1.23
Arlington VA,2019,0.12
Arlington VA,2020,1.37
Arlington VA,2021,0.97
Arlington VA,2022,0.91
Arlington VA,2023,0.25
Arlington VA,2024,1.52
