Location,Year,People_Employed
Arlington County,2000,120245
Arlington County,2001,115923
Arlington County,2002,118066
Arlington County,2003,118535
Arlington County,2004,120660
Arlington County,2005,122283
Arlington County,2006,125635
Arlington County,2007,129346
Arlington County,2008,132028
Arlington County,2009,130822
Arlington County,2010,133249
Arlington County,2011,137144
Arlington County,2012,139598
Arlington County,2013,140221
Arlington County,2014,139923
Arlington County,2015,141531
Arlington County,2016,143500
Arlington County,2017,147555
Arlington County,2018,149692
Arlington County,2019,152424
Arlington County,2020,143247
Arlington County,2021,150054
Arlington County,2022,154543
Arlington County,2023,156913
Arlington County,2024,157223
