Location,Date,People Employed
Fairfax,1990-01,11781
Fairfax,1990-02,11827
Fairfax,1990-03,11943
Fairfax,1990-04,11899
Fairfax,1990-05,12081
Fairfax,1990-06,12228
Fairfax,1990-07,12365
Fairfax,1990-08,12188
Fairfax,1990-09,11904
Fairfax,1990-10,11951
Fairfax,1990-11,11910
Fairfax,1990-12,11959
Fairfax,1991-01,11758
Fairfax,1991-02,11756
Fairfax,1991-03,11860
Fairfax,1991-04,11922
Fairfax,1991-05,11974
Fairfax,1991-06,12191
Fairfax,1991-07,12331
Fairfax,1991-08,12127
Fairfax,1991-09,11945
Fairfax,1991-10,11975
Fairfax,1991-11,11964
Fairfax,1991-12,11991
Fairfax,1992-01,11967
Fairfax,1992-02,11965
Fairfax,1992-03,12097
Fairfax,1992-04,12133
Fairfax,1992-05,12267
Fairfax,1992-06,12390
Fairfax,1992-07,12598
Fairfax,1992-08,12368
Fairfax,1992-09,12083
Fairfax,1992-10,12172
Fairfax,1992-11,12198
Fairfax,1992-12,12253
Fairfax,1993-01,11911
Fairfax,1993-02,11993
Fairfax,1993-03,12068
Fairfax,1993-04,12086
Fairfax,1993-05,12213
Fairfax,1993-06,12315
Fairfax,1993-07,12559
Fairfax,1993-08,12345
Fairfax,1993-09,12075
Fairfax,1993-10,12178
Fairfax,1993-11,12242
Fairfax,1993-12,12309
Fairfax,1994-01,11853
Fairfax,1994-02,11853
Fairfax,1994-03,11923
Fairfax,1994-04,12039
Fairfax,1994-05,12134
Fairfax,1994-06,12233
Fairfax,1994-07,12406
Fairfax,1994-08,12287
Fairfax,1994-09,12092
Fairfax,1994-10,12242
Fairfax,1994-11,12287
Fairfax,1994-12,12530
Fairfax,1995-01,12131
Fairfax,1995-02,12190
Fairfax,1995-03,12278
Fairfax,1995-04,12227
Fairfax,1995-05,12246
Fairfax,1995-06,12329
Fairfax,1995-07,12536
Fairfax,1995-08,12319
Fairfax,1995-09,12113
Fairfax,1995-10,12189
Fairfax,1995-11,12164
Fairfax,1995-12,12187
Fairfax,1996-01,11433
Fairfax,1996-02,11533
Fairfax,1996-03,11622
Fairfax,1996-04,11610
Fairfax,1996-05,11679
Fairfax,1996-06,11799
Fairfax,1996-07,12020
Fairfax,1996-08,11813
Fairfax,1996-09,11641
Fairfax,1996-10,11719
Fairfax,1996-11,11736
Fairfax,1996-12,11753
Fairfax,1997-01,11564
Fairfax,1997-02,11578
Fairfax,1997-03,11736
Fairfax,1997-04,11722
Fairfax,1997-05,11810
Fairfax,1997-06,11882
Fairfax,1997-07,12174
Fairfax,1997-08,11982
Fairfax,1997-09,11786
Fairfax,1997-10,11839
Fairfax,1997-11,11916
Fairfax,1997-12,11967
