Location,Date,AQI
Fairfax County,2000,64.3
Fairfax County,2001,63.9
Fairfax County,2002,62.4
Fairfax County,2003,54.1
Fairfax County,2004,57.3
Fairfax County,2005,54.8
Fairfax County,2006,51.7
Fairfax County,2007,47.7
Fairfax County,2008,43.4
Fairfax County,2009,41.2
Fairfax County,2010,43.8
Fairfax County,2011,42.2
Fairfax County,2012,46.8
Fairfax County,2013,41.4
Fairfax County,2014,40.5
Fairfax County,2015,44.3
Fairfax County,2016,44.3
Fairfax County,2017,44.5
Fairfax County,2018,44.0
Fairfax County,2019,45.1
Fairfax County,2020,40.7
Fairfax County,2021,43.2
Fairfax County,2022,38.7
Fairfax County,2023,41.8
