"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/24021","","Frederick County","Median_Income_Household","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",82668,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",83706,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",84570,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",84480,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",83700,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",85715,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",88502,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",91999,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",97730,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",100685,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",106129,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",115724,"Median Income for All Households"
"geoId/24021","","Frederick County","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",120458,"Median Income for All Households"
