"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/24021","","Frederick County","Count_Person","1970","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",84927,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1971","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",87200,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1972","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",89100,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1973","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",92100,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1974","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",93800,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1975","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",96500,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1976","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",99800,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1977","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",103900,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1978","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",107700,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1979","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",112100,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1980","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",114792,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1981","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",119132,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1982","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",121088,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1983","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",122627,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1984","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",125606,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1985","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",128502,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1986","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",132124,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1987","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",138113,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1988","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",142328,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1989","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",146517,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1990","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",150208,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1991","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",151305,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1992","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",156133,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1993","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",160723,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1994","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",166572,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1995","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",172082,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1996","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",176044,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1997","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",179223,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1998","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",183042,"Total Population"
"geoId/24021","","Frederick County","Count_Person","1999","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",186621,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2000","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",196563,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2001","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",202315,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2002","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",209194,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2003","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",213827,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2004","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",217776,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2005","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",221201,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2006","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",224211,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2007","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",227463,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2008","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",229286,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2009","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",230942,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2010","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",234239,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2011","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",237326,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2012","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",239705,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2013","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",241215,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2014","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",243487,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2015","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",245145,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2016","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",247269,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2017","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",251037,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",255698,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2019","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",260609,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2020","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",265161,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2021","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",279835,"Total Population"
"geoId/24021","","Frederick County","Count_Person","2022","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",287540,"Total Population"
