Location,Year,Temperature_Change
"Frederick County, MD",2000,
"Frederick County, MD",2001,
"Frederick County, MD",2002,
"Frederick County, MD",2003,
"Frederick County, MD",2004,
"Frederick County, MD",2005,
"Frederick County, MD",2006,
"Frederick County, MD",2007,-0.16648874999999994
"Frederick County, MD",2008,-0.03164416666666684
"Frederick County, MD",2009,-0.12362158333333402
"Frederick County, MD",2010,-0.40402975000000013
"Frederick County, MD",2011,0.9497478333333335
"Frederick County, MD",2012,1.2928540833333333
"Frederick County, MD",2013,1.9183755
"Frederick County, MD",2014,0.3404414999999998
"Frederick County, MD",2015,0.44019308333333323
"Frederick County, MD",2016,0.653099
"Frederick County, MD",2017,1.7325765833333335
"Frederick County, MD",2018,1.4124119166666664
"Frederick County, MD",2019,-0.00031783333333346153
"Frederick County, MD",2020,1.4040245833333334
"Frederick County, MD",2021,1.0163774166666666
"Frederick County, MD",2022,0.964451833333333
"Frederick County, MD",2023,0.0562664999999997
