Location,Year,Income
"Fredrick County, MD",2000,
"Fredrick County, MD",2001,
"Fredrick County, MD",2002,
"Fredrick County, MD",2003,
"Fredrick County, MD",2004,
"Fredrick County, MD",2005,
"Fredrick County, MD",2006,
"Fredrick County, MD",2007,
"Fredrick County, MD",2008,
"Fredrick County, MD",2009,
"Fredrick County, MD",2010,
"Fredrick County, MD",2011,
"Fredrick County, MD",2012,
"Fredrick County, MD",2013,
"Fredrick County, MD",2014,
"Fredrick County, MD",2015,
"Fredrick County, MD",2016,
"Fredrick County, MD",2017,
"Fredrick County, MD",2018,
"Fredrick County, MD",2019,
"Fredrick County, MD",2020,
"Fredrick County, MD",2021,
"Fredrick County, MD",2022,
"Fredrick County, MD",2023,
