Location,Date,AQI
Frederick County,2000,47.4
Frederick County,2001,50.9
Frederick County,2002,50.0
Frederick County,2003,38.1
Frederick County,2004,39.9
Frederick County,2005,47.7
Frederick County,2006,43.8
Frederick County,2007,48.3
Frederick County,2008,44.2
Frederick County,2009,36.2
Frederick County,2010,48.5
Frederick County,2011,43.2
Frederick County,2012,44.4
Frederick County,2013,39.8
Frederick County,2014,37.6
Frederick County,2015,41.1
Frederick County,2016,41.3
Frederick County,2017,40.8
Frederick County,2018,37.9
Frederick County,2019,39.8
Frederick County,2020,37.3
Frederick County,2021,38.8
Frederick County,2022,40.2
