Entity properties name,Variable observation date,Variable observation value
Howard County,4/1/2014,37
Howard County,4/2/2014,42
Howard County,4/3/2014,37
Howard County,4/4/2014,32
Howard County,4/5/2014,12
Howard County,4/6/2014,31
Howard County,4/7/2014,45
Howard County,4/8/2014,46
Howard County,4/9/2014,54
Howard County,4/10/2014,50
Howard County,4/11/2014,54
Howard County,4/12/2014,55
Howard County,4/13/2014,64
Howard County,4/14/2014,38
Howard County,4/15/2014,36
Howard County,4/16/2014,36
Howard County,4/17/2014,37
Howard County,4/18/2014,54
Howard County,4/19/2014,54
Howard County,4/20/2014,52
Howard County,4/21/2014,43
Howard County,4/22/2014,57
Howard County,4/23/2014,43
Howard County,4/24/2014,33
Howard County,4/25/2014,54
Howard County,4/26/2014,48
Howard County,4/27/2014,32
Howard County,4/28/2014,39
Howard County,4/29/2014,35
Howard County,4/30/2014,35
Howard County,5/1/2014,38
Howard County,5/2/2014,43
Howard County,5/3/2014,50
Howard County,5/4/2014,39
Howard County,5/5/2014,28
Howard County,5/6/2014,40
Howard County,5/7/2014,55
Howard County,5/8/2014,69
Howard County,5/9/2014,72
Howard County,5/10/2014,49
Howard County,5/11/2014,37
Howard County,5/12/2014,62
Howard County,5/13/2014,55
Howard County,5/14/2014,61
Howard County,5/15/2014,51
Howard County,5/16/2014,32
Howard County,5/17/2014,51
Howard County,5/18/2014,39
Howard County,5/19/2014,49
Howard County,5/20/2014,56
Howard County,5/21/2014,69
Howard County,5/22/2014,64
Howard County,5/23/2014,38
Howard County,5/24/2014,28
Howard County,5/25/2014,36
Howard County,5/26/2014,53
Howard County,5/27/2014,58
Howard County,5/28/2014,54
Howard County,5/29/2014,31
Howard County,5/30/2014,39
Howard County,5/31/2014,40
Howard County,6/1/2014,43
Howard County,6/2/2014,53
Howard County,6/3/2014,56
Howard County,6/4/2014,57
Howard County,6/5/2014,51
Howard County,6/6/2014,37
Howard County,6/7/2014,46
Howard County,6/8/2014,57
Howard County,6/9/2014,65
Howard County,6/10/2014,63
Howard County,6/11/2014,53
Howard County,6/12/2014,33
Howard County,6/13/2014,49
Howard County,6/14/2014,42
Howard County,6/15/2014,38
Howard County,6/16/2014,62
Howard County,6/17/2014,67
Howard County,6/18/2014,74
Howard County,6/19/2014,54
Howard County,6/20/2014,43
Howard County,6/21/2014,55
Howard County,6/22/2014,55
Howard County,6/23/2014,52
Howard County,6/24/2014,51
Howard County,6/25/2014,54
Howard County,6/26/2014,45
Howard County,6/27/2014,51
Howard County,6/28/2014,44
Howard County,6/29/2014,48
Howard County,6/30/2014,48
Howard County,7/1/2014,62
Howard County,7/2/2014,72
Howard County,7/3/2014,59
Howard County,7/4/2014,40
Howard County,7/5/2014,37
Howard County,7/6/2014,52
Howard County,7/7/2014,63
Howard County,7/8/2014,63
Howard County,7/9/2014,50
Howard County,7/10/2014,54
Howard County,7/11/2014,57
Howard County,7/12/2014,57
Howard County,7/13/2014,57
Howard County,7/14/2014,53
Howard County,7/15/2014,56
Howard County,7/16/2014,47
Howard County,7/17/2014,49
Howard County,7/18/2014,49
Howard County,7/19/2014,49
Howard County,7/20/2014,48
Howard County,7/21/2014,48
Howard County,7/22/2014,53
Howard County,7/23/2014,55
Howard County,7/24/2014,42
Howard County,7/25/2014,40
Howard County,7/26/2014,56
Howard County,7/27/2014,44
Howard County,7/28/2014,28
Howard County,7/29/2014,50
Howard County,7/30/2014,53
Howard County,7/31/2014,62
Howard County,8/1/2014,68
Howard County,8/2/2014,48
Howard County,8/3/2014,27
Howard County,8/4/2014,45
Howard County,8/5/2014,55
Howard County,8/6/2014,61
Howard County,8/7/2014,54
Howard County,8/8/2014,59
Howard County,8/9/2014,64
Howard County,8/10/2014,63
Howard County,8/11/2014,49
Howard County,8/12/2014,35
Howard County,8/13/2014,43
Howard County,8/14/2014,49
Howard County,8/15/2014,38
Howard County,8/16/2014,49
Howard County,8/17/2014,58
Howard County,8/18/2014,53
Howard County,8/19/2014,54
Howard County,8/20/2014,56
Howard County,8/21/2014,54
Howard County,8/22/2014,56
Howard County,8/23/2014,38
Howard County,8/24/2014,37
Howard County,8/25/2014,48
Howard County,8/26/2014,63
Howard County,8/27/2014,62
Howard County,8/28/2014,52
