Entity properties name,Variable observation date,Variable observation value
Howard County,1990-01,108348
Howard County,1990-02,109254
Howard County,1990-03,110118
Howard County,1990-04,109551
Howard County,1990-05,110168
Howard County,1990-06,110800
Howard County,1990-07,111561
Howard County,1990-08,110448
Howard County,1990-09,109157
Howard County,1990-10,109535
Howard County,1990-11,109129
Howard County,1990-12,108688
Howard County,1991-01,108656
Howard County,1991-02,108546
Howard County,1991-03,109497
Howard County,1991-04,110087
Howard County,1991-05,110060
Howard County,1991-06,111335
Howard County,1991-07,112794
Howard County,1991-08,111094
Howard County,1991-09,110845
Howard County,1991-10,111203
Howard County,1991-11,111210
Howard County,1991-12,110738
Howard County,1992-01,110813
Howard County,1992-02,110391
Howard County,1992-03,111498
Howard County,1992-04,112108
Howard County,1992-05,112537
Howard County,1992-06,113621
Howard County,1992-07,115679
Howard County,1992-08,114586
Howard County,1992-09,112679
Howard County,1992-10,113347
Howard County,1992-11,113353
Howard County,1992-12,113336
Howard County,1993-01,115035
Howard County,1993-02,115207
Howard County,1993-03,116145
Howard County,1993-04,115870
Howard County,1993-05,116956
Howard County,1993-06,118118
Howard County,1993-07,120266
Howard County,1993-08,119543
Howard County,1993-09,117853
Howard County,1993-10,118652
Howard County,1993-11,119245
Howard County,1993-12,119420
Howard County,1994-01,118604
Howard County,1994-02,118489
Howard County,1994-03,119135
Howard County,1994-04,119549
Howard County,1994-05,120804
Howard County,1994-06,121681
Howard County,1994-07,123389
Howard County,1994-08,122740
Howard County,1994-09,121867
Howard County,1994-10,122868
Howard County,1994-11,123182
Howard County,1994-12,123043
Howard County,1995-01,123840
Howard County,1995-02,124066
Howard County,1995-03,124998
Howard County,1995-04,125147
Howard County,1995-05,125170
Howard County,1995-06,126017
Howard County,1995-07,126840
Howard County,1995-08,126053
Howard County,1995-09,125077
Howard County,1995-10,125750
Howard County,1995-11,125620
Howard County,1995-12,125296
Howard County,1996-01,125691
Howard County,1996-02,126562
Howard County,1996-03,127769
Howard County,1996-04,128153
Howard County,1996-05,129396
Howard County,1996-06,130624
Howard County,1996-07,132110
Howard County,1996-08,131050
Howard County,1996-09,130763
Howard County,1996-10,132000
Howard County,1996-11,131369
Howard County,1996-12,130513
Howard County,1997-01,131410
Howard County,1997-02,131537
Howard County,1997-03,132951
Howard County,1997-04,133137
Howard County,1997-05,134024
Howard County,1997-06,134819
Howard County,1997-07,135673
Howard County,1997-08,134704
Howard County,1997-09,132869
Howard County,1997-10,133908
Howard County,1997-11,134496
Howard County,1997-12,134264
Howard County,1998-01,134801
Howard County,1998-02,134912
Howard County,1998-03,135768
Howard County,1998-04,135587
Howard County,1998-05,135917
Howard County,1998-06,136587
Howard County,1998-07,137176
Howard County,1998-08,136188
Howard County,1998-09,135802
Howard County,1998-10,136883
Howard County,1998-11,137100
Howard County,1998-12,137256
Howard County,1999-01,139674
Howard County,1999-02,139308
Howard County,1999-03,140487
Howard County,1999-04,140361
Howard County,1999-05,141371
Howard County,1999-06,142023
Howard County,1999-07,143367
Howard County,1999-08,141956
Howard County,1999-09,140985
Howard County,1999-10,142420
Howard County,1999-11,142505
Howard County,1999-12,142375
Howard County,2000-01,139219
Howard County,2000-02,139122
Howard County,2000-03,140164
Howard County,2000-04,140491
Howard County,2000-05,140229
Howard County,2000-06,141293
Howard County,2000-07,142033
Howard County,2000-08,140744
Howard County,2000-09,140480
Howard County,2000-10,141964
Howard County,2000-11,142174
Howard County,2000-12,142809
Howard County,2001-01,143150
Howard County,2001-02,142998
Howard County,2001-03,143993
Howard County,2001-04,143287
Howard County,2001-05,143465
Howard County,2001-06,144107
Howard County,2001-07,145297
Howard County,2001-08,142511
Howard County,2001-09,142667
Howard County,2001-10,143356
Howard County,2001-11,143550
Howard County,2001-12,143490
Howard County,2002-01,142550
Howard County,2002-02,143616
Howard County,2002-03,144424
Howard County,2002-04,144069
Howard County,2002-05,144971
Howard County,2002-06,145714
Howard County,2002-07,146874
Howard County,2002-08,145225
Howard County,2002-09,145043
Howard County,2002-10,145414
Howard County,2002-11,144493
Howard County,2002-12,144337
Howard County,2003-01,143860
Howard County,2003-02,143767
Howard County,2003-03,144688
Howard County,2003-04,144970
Howard County,2003-05,144995
Howard County,2003-06,145308
Howard County,2003-07,145758
Howard County,2003-08,145127
Howard County,2003-09,144811
Howard County,2003-10,145971
Howard County,2003-11,146115
Howard County,2003-12,145930
Howard County,2004-01,144893
Howard County,2004-02,144418
Howard County,2004-03,145060
Howard County,2004-04,144954
Howard County,2004-05,145024
Howard County,2004-06,146049
Howard County,2004-07,147260
Howard County,2004-08,145703
Howard County,2004-09,145288
Howard County,2004-10,146548
Howard County,2004-11,146795
Howard County,2004-12,146362
Howard County,2005-01,145697
Howard County,2005-02,145641
Howard County,2005-03,146718
Howard County,2005-04,147709
Howard County,2005-05,148656
Howard County,2005-06,149957
Howard County,2005-07,151590
Howard County,2005-08,150305
Howard County,2005-09,150158
Howard County,2005-10,151412
Howard County,2005-11,151042
Howard County,2005-12,151718
Howard County,2006-01,151697
Howard County,2006-02,151829
Howard County,2006-03,153269
Howard County,2006-04,153539
Howard County,2006-05,153747
Howard County,2006-06,154842
Howard County,2006-07,155985
Howard County,2006-08,154776
Howard County,2006-09,154477
Howard County,2006-10,155951
Howard County,2006-11,155869
Howard County,2006-12,156163
Howard County,2007-01,154255
Howard County,2007-02,153462
Howard County,2007-03,155054
Howard County,2007-04,154636
Howard County,2007-05,155011
Howard County,2007-06,156200
Howard County,2007-07,157655
Howard County,2007-08,156053
Howard County,2007-09,156107
Howard County,2007-10,156806
Howard County,2007-11,157374
Howard County,2007-12,156682
Howard County,2008-01,156694
Howard County,2008-02,155999
Howard County,2008-03,157278
Howard County,2008-04,157904
Howard County,2008-05,157721
Howard County,2008-06,158363
Howard County,2008-07,159317
Howard County,2008-08,157349
Howard County,2008-09,156496
Howard County,2008-10,157498
Howard County,2008-11,156671
Howard County,2008-12,155678
Howard County,2009-01,155298
Howard County,2009-02,154378
Howard County,2009-03,155081
Howard County,2009-04,155923
Howard County,2009-05,155377
Howard County,2009-06,156347
Howard County,2009-07,157026
Howard County,2009-08,155287
Howard County,2009-09,154455
Howard County,2009-10,154853
Howard County,2009-11,154945
Howard County,2009-12,153949
Howard County,2010-01,148178
Howard County,2010-02,147750
Howard County,2010-03,150025
Howard County,2010-04,152219
Howard County,2010-05,151906
Howard County,2010-06,152573
Howard County,2010-07,152876
Howard County,2010-08,152511
Howard County,2010-09,152031
Howard County,2010-10,153035
Howard County,2010-11,152644
Howard County,2010-12,152672
Howard County,2011-01,152936
Howard County,2011-02,152955
Howard County,2011-03,154652
Howard County,2011-04,155258
Howard County,2011-05,155407
Howard County,2011-06,155465
Howard County,2011-07,155987
Howard County,2011-08,155342
Howard County,2011-09,155317
Howard County,2011-10,156842
Howard County,2011-11,157186
Howard County,2011-12,157158
Howard County,2012-01,157619
Howard County,2012-02,157894
Howard County,2012-03,159160
Howard County,2012-04,159448
Howard County,2012-05,159813
Howard County,2012-06,160143
Howard County,2012-07,160876
Howard County,2012-08,159846
Howard County,2012-09,160487
Howard County,2012-10,162012
Howard County,2012-11,161472
Howard County,2012-12,161387
Howard County,2013-01,161714
Howard County,2013-02,161789
Howard County,2013-03,162805
Howard County,2013-04,163264
Howard County,2013-05,163563
Howard County,2013-06,164094
Howard County,2013-07,164531
Howard County,2013-08,163150
Howard County,2013-09,163189
Howard County,2013-10,162933
Howard County,2013-11,163461
Howard County,2013-12,163125
Howard County,2014-01,163257
Howard County,2014-02,163417
Howard County,2014-03,164754
Howard County,2014-04,165878
Howard County,2014-05,166035
Howard County,2014-06,166790
Howard County,2014-07,167275
Howard County,2014-08,166227
Howard County,2014-09,166153
Howard County,2014-10,167653
Howard County,2014-11,167384
Howard County,2014-12,167141
Howard County,2015-01,167286
Howard County,2015-02,167609
Howard County,2015-03,168789
Howard County,2015-04,169975
Howard County,2015-05,170581
Howard County,2015-06,170933
Howard County,2015-07,171812
Howard County,2015-08,170846
Howard County,2015-09,169530
Howard County,2015-10,171056
Howard County,2015-11,171209
Howard County,2015-12,171322
Howard County,2016-01,171087
Howard County,2016-02,171423
Howard County,2016-03,172381
Howard County,2016-04,172422
Howard County,2016-05,173174
Howard County,2016-06,173963
Howard County,2016-07,174789
Howard County,2016-08,173955
Howard County,2016-09,173732
Howard County,2016-10,174694
Howard County,2016-11,174918
Howard County,2016-12,174513
Howard County,2017-01,177218
Howard County,2017-02,177578
Howard County,2017-03,179129
Howard County,2017-04,179932
Howard County,2017-05,180322
Howard County,2017-06,181440
Howard County,2017-07,183212
Howard County,2017-08,181573
Howard County,2017-09,182324
Howard County,2017-10,181559
Howard County,2017-11,181415
Howard County,2017-12,180805
Howard County,2018-01,180772
Howard County,2018-02,181720
Howard County,2018-03,182869
Howard County,2018-04,183260
Howard County,2018-05,184117
Howard County,2018-06,185405
Howard County,2018-07,186303
Howard County,2018-08,184134
Howard County,2018-09,184483
Howard County,2018-10,185421
Howard County,2018-11,186026
Howard County,2018-12,185735
Howard County,2019-01,186362
Howard County,2019-02,187302
Howard County,2019-03,188465
Howard County,2019-04,188603
Howard County,2019-05,189449
Howard County,2019-06,191564
Howard County,2019-07,192582
Howard County,2019-08,191692
Howard County,2019-09,191714
Howard County,2019-10,192926
Howard County,2019-11,193043
Howard County,2019-12,193102
Howard County,2020-01,192315
Howard County,2020-02,192976
Howard County,2020-03,191667
Howard County,2020-04,172327
Howard County,2020-05,171481
Howard County,2020-06,176117
Howard County,2020-07,176244
Howard County,2020-08,177122
Howard County,2020-09,176133
Howard County,2020-10,178176
Howard County,2020-11,177449
Howard County,2020-12,176521
Howard County,2021-01,174733
Howard County,2021-02,175111
Howard County,2021-03,176658
Howard County,2021-04,177166
Howard County,2021-05,177166
Howard County,2021-06,178618
Howard County,2021-07,180433
Howard County,2021-08,179227
Howard County,2021-09,178522
Howard County,2021-10,179584
Howard County,2021-11,180608
Howard County,2021-12,181370
Howard County,2022-01,180562
Howard County,2022-02,181069
Howard County,2022-03,182415
Howard County,2022-04,182046
Howard County,2022-05,181931
Howard County,2022-06,183208
Howard County,2022-07,183977
Howard County,2022-08,183376
Howard County,2022-09,182476
Howard County,2022-10,182822
Howard County,2022-11,182875
Howard County,2022-12,183480
Howard County,2023-01,182339
Howard County,2023-02,182804
Howard County,2023-03,184757
Howard County,2023-04,185375
