Entity properties name,Variable observation date,Variable observation value
Howard County,1970,62394
Howard County,1971,69100
Howard County,1972,76600
Howard County,1973,84700
Howard County,1974,88800
Howard County,1975,96700
Howard County,1976,102600
Howard County,1977,108200
Howard County,1978,112900
Howard County,1979,116200
Howard County,1980,118572
Howard County,1981,124746
Howard County,1982,127942
Howard County,1983,132011
Howard County,1984,137511
Howard County,1985,143815
Howard County,1986,152265
Howard County,1987,160880
Howard County,1988,170720
Howard County,1989,179648
Howard County,1990,187328
Howard County,1991,189359
Howard County,1992,194587
Howard County,1993,199457
Howard County,1994,206982
Howard County,1995,213234
Howard County,1996,218856
Howard County,1997,223991
Howard County,1998,228928
Howard County,1999,235118
Howard County,2000,249590
Howard County,2001,255211
Howard County,2002,259532
Howard County,2003,263186
Howard County,2004,265919
Howard County,2005,268590
Howard County,2006,271793
Howard County,2007,275196
Howard County,2008,278405
Howard County,2009,283061
Howard County,2010,288618
Howard County,2011,293596
Howard County,2012,299223
Howard County,2013,303590
Howard County,2014,306989
Howard County,2015,311417
Howard County,2016,315581
Howard County,2017,319409
Howard County,2018,322895
Howard County,2019,325951
Howard County,2020,328200
Howard County,2021,334529
Howard County,2022,335366
Howard County,2023,336001
