Location,Year,AQI
"Howard County, MD",2000,46.54181818181818
"Howard County, MD",2001,46.54181818181818
"Howard County, MD",2002,46.54181818181818
"Howard County, MD",2003,46.54181818181818
"Howard County, MD",2004,46.54181818181818
"Howard County, MD",2005,46.54181818181818
"Howard County, MD",2006,46.54181818181818
"Howard County, MD",2007,46.54181818181818
"Howard County, MD",2008,46.54181818181818
"Howard County, MD",2009,46.54181818181818
"Howard County, MD",2010,46.54181818181818
"Howard County, MD",2011,46.54181818181818
"Howard County, MD",2012,46.54181818181818
"Howard County, MD",2013,46.54181818181818
"Howard County, MD",2014,46.54181818181818
"Howard County, MD",2015,37.69041095890411
"Howard County, MD",2016,39.15573770491803
"Howard County, MD",2017,35.74246575342466
"Howard County, MD",2018,37.26575342465753
"Howard County, MD",2019,32.41095890410959
"Howard County, MD",2020,29.89010989010989
"Howard County, MD",2021,32.29041095890411
"Howard County, MD",2022,31.85164835164835
"Howard County, MD",2023,31.85164835164835
