Location,Year,Temperature_Change
"Howard County, MD",2000,
"Howard County, MD",2001,
"Howard County, MD",2002,
"Howard County, MD",2003,
"Howard County, MD",2004,
"Howard County, MD",2005,
"Howard County, MD",2006,
"Howard County, MD",2007,-0.2298535833333333
"Howard County, MD",2008,-0.1571833333333333
"Howard County, MD",2009,-0.12915541666666663
"Howard County, MD",2010,-0.481041
"Howard County, MD",2011,0.7191722500000001
"Howard County, MD",2012,1.1102725833333333
"Howard County, MD",2013,1.7833682499999999
"Howard County, MD",2014,0.17112491666666665
"Howard County, MD",2015,0.22211441666666668
"Howard County, MD",2016,0.5550765833333333
"Howard County, MD",2017,1.5267738333333334
"Howard County, MD",2018,1.2221450833333334
"Howard County, MD",2019,-0.085767
"Howard County, MD",2020,1.22903675
"Howard County, MD",2021,1.0347795
"Howard County, MD",2022,0.7532549999999999
"Howard County, MD",2023,-0.09516916666666668
