Location,Year,Value
"Howard County, MD",2000,-0.2298535833333333
"Howard County, MD",2001,-0.2298535833333333
"Howard County, MD",2002,-0.2298535833333333
"Howard County, MD",2003,-0.2298535833333333
"Howard County, MD",2004,-0.2298535833333333
"Howard County, MD",2005,-0.2298535833333333
"Howard County, MD",2006,-0.2298535833333333
"Howard County, MD",2007,-0.2298535833333333
"Howard County, MD",2008,-0.1571833333333333
"Howard County, MD",2009,-0.1291554166666666
"Howard County, MD",2010,-0.481041
"Howard County, MD",2011,0.7191722500000001
"Howard County, MD",2012,1.1102725833333331
"Howard County, MD",2013,1.78336825
"Howard County, MD",2014,0.1711249166666666
"Howard County, MD",2015,0.2221144166666666
"Howard County, MD",2016,0.5550765833333333
"Howard County, MD",2017,1.5267738333333334
"Howard County, MD",2018,1.2221450833333334
"Howard County, MD",2019,-0.085767
"Howard County, MD",2020,1.22903675
"Howard County, MD",2021,1.0347795
"Howard County, MD",2022,0.7532549999999999
"Howard County, MD",2023,-0.0951691666666666
