Entity properties name,Variable observation date,Variable observation value
Loudoun County,4/5/1990,11
Loudoun County,4/11/1990,9
Loudoun County,4/17/1990,19
Loudoun County,4/23/1990,18
Loudoun County,4/29/1990,19
Loudoun County,5/5/1990,18
Loudoun County,5/17/1990,18
Loudoun County,5/23/1990,12
Loudoun County,6/10/1990,19
Loudoun County,6/16/1990,31
Loudoun County,6/22/1990,30
Loudoun County,6/28/1990,38
Loudoun County,7/4/1990,30
Loudoun County,7/10/1990,32
Loudoun County,7/16/1990,28
Loudoun County,7/22/1990,21
Loudoun County,7/28/1990,28
Loudoun County,8/3/1990,19
Loudoun County,8/9/1990,28
Loudoun County,8/15/1990,20
Loudoun County,8/21/1990,16
Loudoun County,8/27/1990,57
Loudoun County,9/2/1990,43
Loudoun County,9/8/1990,19
Loudoun County,9/14/1990,19
Loudoun County,9/20/1990,21
Loudoun County,9/26/1990,24
Loudoun County,10/20/1990,9
Loudoun County,10/26/1990,9
Loudoun County,11/1/1990,34
Loudoun County,11/7/1990,14
Loudoun County,11/13/1990,6
Loudoun County,11/19/1990,10
Loudoun County,11/25/1990,9
Loudoun County,12/1/1990,18
Loudoun County,12/7/1990,29
Loudoun County,12/13/1990,23
Loudoun County,12/19/1990,7
Loudoun County,12/31/1990,7
Loudoun County,1/6/1991,19
Loudoun County,1/12/1991,10
Loudoun County,1/18/1991,10
Loudoun County,1/24/1991,12
Loudoun County,1/30/1991,22
Loudoun County,2/5/1991,29
Loudoun County,2/11/1991,10
Loudoun County,2/17/1991,13
Loudoun County,2/23/1991,7
Loudoun County,3/1/1991,24
Loudoun County,3/7/1991,13
Loudoun County,3/13/1991,14
Loudoun County,3/19/1991,12
Loudoun County,3/25/1991,13
Loudoun County,3/31/1991,14
Loudoun County,4/6/1991,19
Loudoun County,4/12/1991,11
Loudoun County,4/18/1991,19
Loudoun County,4/30/1991,19
Loudoun County,5/6/1991,13
Loudoun County,5/12/1991,35
Loudoun County,5/18/1991,21
Loudoun County,5/24/1991,30
Loudoun County,5/30/1991,41
Loudoun County,6/5/1991,10
Loudoun County,6/11/1991,49
Loudoun County,6/17/1991,23
Loudoun County,6/23/1991,19
Loudoun County,6/29/1991,45
Loudoun County,7/5/1991,18
Loudoun County,7/17/1991,29
Loudoun County,7/23/1991,36
Loudoun County,7/29/1991,16
Loudoun County,8/4/1991,31
Loudoun County,8/10/1991,22
Loudoun County,8/16/1991,38
Loudoun County,8/22/1991,24
Loudoun County,8/28/1991,15
Loudoun County,9/3/1991,13
Loudoun County,9/9/1991,30
Loudoun County,9/15/1991,37
Loudoun County,9/21/1991,12
Loudoun County,9/27/1991,25
Loudoun County,10/3/1991,15
Loudoun County,10/9/1991,19
Loudoun County,10/15/1991,22
Loudoun County,10/21/1991,16
Loudoun County,10/27/1991,13
Loudoun County,11/2/1991,19
Loudoun County,11/8/1991,13
Loudoun County,11/14/1991,15
Loudoun County,11/20/1991,12
Loudoun County,11/26/1991,2
Loudoun County,12/2/1991,5
Loudoun County,12/14/1991,9
Loudoun County,12/20/1991,14
Loudoun County,12/26/1991,13
Loudoun County,1/1/1992,22
Loudoun County,1/7/1992,15
Loudoun County,1/13/1992,19
Loudoun County,1/19/1992,9
Loudoun County,1/25/1992,8
Loudoun County,1/31/1992,19
Loudoun County,2/6/1992,14
Loudoun County,2/12/1992,10
Loudoun County,2/18/1992,19
Loudoun County,2/24/1992,14
Loudoun County,3/1/1992,7
Loudoun County,3/13/1992,8
Loudoun County,3/19/1992,8
Loudoun County,3/25/1992,19
Loudoun County,3/31/1992,16
Loudoun County,4/6/1992,11
Loudoun County,4/12/1992,18
Loudoun County,4/18/1992,20
Loudoun County,4/24/1992,17
Loudoun County,4/30/1992,16
Loudoun County,5/6/1992,13
Loudoun County,5/12/1992,14
Loudoun County,5/18/1992,20
Loudoun County,5/24/1992,26
Loudoun County,5/30/1992,11
Loudoun County,6/5/1992,9
Loudoun County,6/11/1992,18
Loudoun County,6/17/1992,19
Loudoun County,6/23/1992,25
Loudoun County,6/29/1992,31
Loudoun County,7/5/1992,27
Loudoun County,7/11/1992,27
Loudoun County,7/17/1992,29
Loudoun County,7/23/1992,17
Loudoun County,7/29/1992,34
Loudoun County,8/4/1992,21
Loudoun County,8/10/1992,31
Loudoun County,8/16/1992,11
Loudoun County,8/22/1992,31
Loudoun County,8/28/1992,21
Loudoun County,9/3/1992,29
Loudoun County,9/9/1992,16
Loudoun County,9/15/1992,19
Loudoun County,9/21/1992,16
Loudoun County,9/27/1992,12
Loudoun County,10/3/1992,19
Loudoun County,10/9/1992,9
Loudoun County,10/15/1992,24
Loudoun County,10/21/1992,19
Loudoun County,10/27/1992,11
Loudoun County,11/2/1992,9
Loudoun County,11/8/1992,12
Loudoun County,11/20/1992,20
Loudoun County,11/26/1992,12
Loudoun County,12/2/1992,20
Loudoun County,12/8/1992,11
Loudoun County,12/14/1992,12
Loudoun County,12/20/1992,12
Loudoun County,12/26/1992,8
Loudoun County,1/1/1993,3
Loudoun County,1/7/1993,3
Loudoun County,1/13/1993,8
Loudoun County,1/19/1993,11
Loudoun County,1/25/1993,5
Loudoun County,1/31/1993,6
Loudoun County,2/6/1993,8
Loudoun County,2/12/1993,5
Loudoun County,2/18/1993,6
Loudoun County,2/24/1993,6
Loudoun County,3/2/1993,12
Loudoun County,3/8/1993,8
Loudoun County,3/14/1993,7
Loudoun County,3/20/1993,14
Loudoun County,3/26/1993,17
Loudoun County,4/1/1993,11
Loudoun County,4/7/1993,13
Loudoun County,4/13/1993,10
Loudoun County,4/19/1993,14
Loudoun County,4/25/1993,19
Loudoun County,5/1/1993,25
Loudoun County,5/7/1993,17
Loudoun County,5/13/1993,19
Loudoun County,5/19/1993,18
Loudoun County,5/25/1993,28
Loudoun County,5/31/1993,19
Loudoun County,6/6/1993,15
Loudoun County,6/12/1993,20
Loudoun County,6/18/1993,55
Loudoun County,6/24/1993,21
Loudoun County,6/30/1993,35
Loudoun County,7/6/1993,52
Loudoun County,7/12/1993,34
Loudoun County,7/18/1993,19
Loudoun County,7/24/1993,36
Loudoun County,7/30/1993,18
Loudoun County,8/5/1993,24
Loudoun County,8/11/1993,24
Loudoun County,8/17/1993,37
Loudoun County,8/23/1993,25
Loudoun County,8/29/1993,24
Loudoun County,9/4/1993,13
Loudoun County,9/10/1993,19
Loudoun County,9/16/1993,10
Loudoun County,9/22/1993,6
Loudoun County,9/28/1993,11
Loudoun County,10/4/1993,7
Loudoun County,10/10/1993,7
Loudoun County,10/16/1993,22
Loudoun County,10/22/1993,8
Loudoun County,11/3/1993,19
Loudoun County,11/9/1993,18
Loudoun County,11/15/1993,8
Loudoun County,11/21/1993,10
Loudoun County,11/27/1993,3
