Entity properties name,Variable observation date,Variable observation value
Loudoun County,1990-01,50486
Loudoun County,1990-02,50677
Loudoun County,1990-03,51178
Loudoun County,1990-04,50987
Loudoun County,1990-05,51770
Loudoun County,1990-06,52406
Loudoun County,1990-07,52982
Loudoun County,1990-08,52231
Loudoun County,1990-09,51012
Loudoun County,1990-10,51211
Loudoun County,1990-11,51033
Loudoun County,1990-12,51247
Loudoun County,1991-01,51513
Loudoun County,1991-02,51508
Loudoun County,1991-03,51960
Loudoun County,1991-04,52232
Loudoun County,1991-05,52453
Loudoun County,1991-06,53406
Loudoun County,1991-07,54019
Loudoun County,1991-08,53128
Loudoun County,1991-09,52329
Loudoun County,1991-10,52465
Loudoun County,1991-11,52413
Loudoun County,1991-12,52534
Loudoun County,1992-01,53240
Loudoun County,1992-02,53233
Loudoun County,1992-03,53816
Loudoun County,1992-04,53977
Loudoun County,1992-05,54572
Loudoun County,1992-06,55119
Loudoun County,1992-07,56044
Loudoun County,1992-08,55017
Loudoun County,1992-09,53752
Loudoun County,1992-10,54152
Loudoun County,1992-11,54267
Loudoun County,1992-12,54508
Loudoun County,1993-01,56574
Loudoun County,1993-02,56967
Loudoun County,1993-03,57322
Loudoun County,1993-04,57410
Loudoun County,1993-05,58008
Loudoun County,1993-06,58489
Loudoun County,1993-07,59650
Loudoun County,1993-08,58638
Loudoun County,1993-09,57353
Loudoun County,1993-10,57841
Loudoun County,1993-11,58148
Loudoun County,1993-12,58465
Loudoun County,1994-01,60862
Loudoun County,1994-02,60855
Loudoun County,1994-03,61218
Loudoun County,1994-04,61815
Loudoun County,1994-05,62299
Loudoun County,1994-06,62808
Loudoun County,1994-07,63697
Loudoun County,1994-08,63081
Loudoun County,1994-09,62087
Loudoun County,1994-10,62859
Loudoun County,1994-11,63088
Loudoun County,1994-12,64337
Loudoun County,1995-01,66044
Loudoun County,1995-02,66367
Loudoun County,1995-03,66842
Loudoun County,1995-04,66574
Loudoun County,1995-05,66675
Loudoun County,1995-06,67126
Loudoun County,1995-07,68247
Loudoun County,1995-08,67069
Loudoun County,1995-09,65950
Loudoun County,1995-10,66360
Loudoun County,1995-11,66232
Loudoun County,1995-12,66353
Loudoun County,1996-01,68513
Loudoun County,1996-02,69106
Loudoun County,1996-03,69647
Loudoun County,1996-04,69573
Loudoun County,1996-05,69986
Loudoun County,1996-06,70706
Loudoun County,1996-07,72034
Loudoun County,1996-08,70795
Loudoun County,1996-09,69757
Loudoun County,1996-10,70223
Loudoun County,1996-11,70325
Loudoun County,1996-12,70428
Loudoun County,1997-01,73226
Loudoun County,1997-02,73325
Loudoun County,1997-03,74327
Loudoun County,1997-04,74232
Loudoun County,1997-05,74787
Loudoun County,1997-06,75253
Loudoun County,1997-07,77100
Loudoun County,1997-08,75875
Loudoun County,1997-09,74647
Loudoun County,1997-10,74984
Loudoun County,1997-11,75466
Loudoun County,1997-12,75786
Loudoun County,1998-01,80110
Loudoun County,1998-02,80792
Loudoun County,1998-03,81511
Loudoun County,1998-04,81921
Loudoun County,1998-05,82659
Loudoun County,1998-06,83051
Loudoun County,1998-07,84369
Loudoun County,1998-08,83264
Loudoun County,1998-09,82657
Loudoun County,1998-10,82761
Loudoun County,1998-11,83221
Loudoun County,1998-12,83736
Loudoun County,1999-01,87617
Loudoun County,1999-02,87787
Loudoun County,1999-03,88406
Loudoun County,1999-04,88809
Loudoun County,1999-05,89962
Loudoun County,1999-06,89841
Loudoun County,1999-07,91776
Loudoun County,1999-08,90766
Loudoun County,1999-09,90036
Loudoun County,1999-10,91197
Loudoun County,1999-11,91183
Loudoun County,1999-12,91705
Loudoun County,2000-01,96012
Loudoun County,2000-02,96531
Loudoun County,2000-03,97400
Loudoun County,2000-04,98281
Loudoun County,2000-05,98293
Loudoun County,2000-06,99230
Loudoun County,2000-07,100371
Loudoun County,2000-08,98966
Loudoun County,2000-09,98332
Loudoun County,2000-10,99629
Loudoun County,2000-11,100210
Loudoun County,2000-12,100991
Loudoun County,2001-01,106607
Loudoun County,2001-02,106773
Loudoun County,2001-03,107746
Loudoun County,2001-04,106979
Loudoun County,2001-05,107394
Loudoun County,2001-06,107852
Loudoun County,2001-07,109101
Loudoun County,2001-08,106574
Loudoun County,2001-09,105698
Loudoun County,2001-10,106081
Loudoun County,2001-11,105846
Loudoun County,2001-12,106312
Loudoun County,2002-01,109935
Loudoun County,2002-02,111018
Loudoun County,2002-03,111619
Loudoun County,2002-04,111747
Loudoun County,2002-05,112463
Loudoun County,2002-06,113164
Loudoun County,2002-07,114319
Loudoun County,2002-08,112883
Loudoun County,2002-09,112384
Loudoun County,2002-10,112608
Loudoun County,2002-11,112264
Loudoun County,2002-12,112574
Loudoun County,2003-01,118247
Loudoun County,2003-02,118510
Loudoun County,2003-03,119305
Loudoun County,2003-04,120322
Loudoun County,2003-05,120613
Loudoun County,2003-06,121470
Loudoun County,2003-07,122964
Loudoun County,2003-08,121396
Loudoun County,2003-09,120397
Loudoun County,2003-10,121078
Loudoun County,2003-11,121444
Loudoun County,2003-12,121655
Loudoun County,2004-01,128735
Loudoun County,2004-02,129283
Loudoun County,2004-03,130130
Loudoun County,2004-04,130562
Loudoun County,2004-05,131257
Loudoun County,2004-06,132435
Loudoun County,2004-07,134468
Loudoun County,2004-08,133107
Loudoun County,2004-09,131699
Loudoun County,2004-10,133318
Loudoun County,2004-11,133267
Loudoun County,2004-12,133380
Loudoun County,2005-01,139205
Loudoun County,2005-02,139961
Loudoun County,2005-03,140876
Loudoun County,2005-04,142104
Loudoun County,2005-05,143347
Loudoun County,2005-06,144667
Loudoun County,2005-07,147139
Loudoun County,2005-08,145560
