Entity properties name,Variable observation date,Variable observation value
Loudoun County,1970,37150
Loudoun County,1971,38500
Loudoun County,1972,40500
Loudoun County,1973,43800
Loudoun County,1974,47400
Loudoun County,1975,50300
Loudoun County,1976,52300
Loudoun County,1977,54000
Loudoun County,1978,55700
Loudoun County,1979,56400
Loudoun County,1980,57427
Loudoun County,1981,59009
Loudoun County,1982,60142
Loudoun County,1983,61706
Loudoun County,1984,64163
Loudoun County,1985,67225
Loudoun County,1986,71026
Loudoun County,1987,75578
Loudoun County,1988,79117
Loudoun County,1989,83084
Loudoun County,1990,86185
Loudoun County,1991,87193
Loudoun County,1992,89971
Loudoun County,1993,94047
Loudoun County,1994,100723
Loudoun County,1995,108187
Loudoun County,1996,116140
Loudoun County,1997,124114
Loudoun County,1998,134170
Loudoun County,1999,144514
Loudoun County,2000,173907
Loudoun County,2001,189910
Loudoun County,2002,203543
Loudoun County,2003,220366
Loudoun County,2004,238299
Loudoun County,2005,254909
Loudoun County,2006,267194
Loudoun County,2007,279704
Loudoun County,2008,292570
Loudoun County,2009,303661
Loudoun County,2010,315486
Loudoun County,2011,326357
Loudoun County,2012,337902
Loudoun County,2013,350001
Loudoun County,2014,362330
Loudoun County,2015,374176
Loudoun County,2016,385750
Loudoun County,2017,397192
Loudoun County,2018,405964
Loudoun County,2019,414872
Loudoun County,2020,422784
Loudoun County,2021,427592
Loudoun County,2022,432792
Loudoun County,2023,436347
