Entity properties name,Variable observation date,Variable observation value
Loudoun County,2007-01,-1.312836
Loudoun County,2007-02,-1.973663
Loudoun County,2007-03,0.809693
Loudoun County,2007-04,2.71524
Loudoun County,2007-05,-1.758576
Loudoun County,2007-06,0.097626
Loudoun County,2007-07,2.259001
Loudoun County,2007-08,1.627625
Loudoun County,2007-09,0.692017
Loudoun County,2007-10,2.70166
Loudoun County,2007-11,-1.972931
Loudoun County,2007-12,-5.218903
Loudoun County,2008-01,-3.161408
Loudoun County,2008-02,3.994263
Loudoun County,2008-03,3.858979
Loudoun County,2008-04,-1.257263
Loudoun County,2008-05,-1.792023
Loudoun County,2008-06,1.667358
Loudoun County,2008-07,1.385406
Loudoun County,2008-08,-0.496887
Loudoun County,2008-09,2.863861
Loudoun County,2008-10,1.170929
Loudoun County,2008-11,-2.062317
Loudoun County,2008-12,-5.989411
Loudoun County,2009-01,-1.610077
Loudoun County,2009-02,1.570679
Loudoun County,2009-03,3.440064
Loudoun County,2009-04,0.492126
Loudoun County,2009-05,1.19815
Loudoun County,2009-06,-1.970062
Loudoun County,2009-07,0.661072
Loudoun County,2009-08,0.831085
Loudoun County,2009-09,0.544678
Loudoun County,2009-10,-0.430359
Loudoun County,2009-11,-3.758698
Loudoun County,2009-12,-1.91095
Loudoun County,2010-01,-0.387879
Loudoun County,2010-02,2.100434
Loudoun County,2010-03,2.982209
Loudoun County,2010-04,-0.500214
Loudoun County,2010-05,-2.295868
Loudoun County,2010-06,1.174561
Loudoun County,2010-07,1.550535
Loudoun County,2010-08,-0.003418
Loudoun County,2010-09,0.500153
Loudoun County,2010-10,-0.312469
Loudoun County,2010-11,-7.319062
Loudoun County,2010-12,-1.987488
Loudoun County,2011-01,-1.078827
Loudoun County,2011-02,2.160279
Loudoun County,2011-03,1.744568
Loudoun County,2011-04,3.390747
Loudoun County,2011-05,1.723999
Loudoun County,2011-06,1.19223
Loudoun County,2011-07,1.3927
Loudoun County,2011-08,1.054871
Loudoun County,2011-09,3.553375
Loudoun County,2011-10,1.669312
Loudoun County,2011-11,-1.798218
Loudoun County,2011-12,-3.411744
Loudoun County,2012-01,2.482056
Loudoun County,2012-02,5.149781
Loudoun County,2012-03,2.200959
Loudoun County,2012-04,-1.164948
Loudoun County,2012-05,-1.804962
Loudoun County,2012-06,2.287689
Loudoun County,2012-07,4.839567
Loudoun County,2012-08,3.208525
Loudoun County,2012-09,2.923828
Loudoun County,2012-10,-0.854736
Loudoun County,2012-11,-0.811005
Loudoun County,2012-12,-2.64328
Loudoun County,2013-01,2.416474
Loudoun County,2013-02,1.81427
Loudoun County,2013-03,1.501496
Loudoun County,2013-04,3.27887
Loudoun County,2013-05,1.765533
Loudoun County,2013-06,2.180542
Loudoun County,2013-07,4.858152
Loudoun County,2013-08,3.854735
Loudoun County,2013-09,2.631409
Loudoun County,2013-10,2.640198
Loudoun County,2013-11,-1.812745
Loudoun County,2013-12,-1.906525
Loudoun County,2014-01,1.105499
Loudoun County,2014-02,2.378601
Loudoun County,2014-03,0.560944
Loudoun County,2014-04,-1.463104
Loudoun County,2014-05,2.999542
Loudoun County,2014-06,-0.799347
