Location,Date,AQI
Loudoun County,4/5/1990,11.0
Loudoun County,4/11/1990,9.0
Loudoun County,4/17/1990,19.0
Loudoun County,4/23/1990,18.0
Loudoun County,4/29/1990,19.0
Loudoun County,5/5/1990,18.0
Loudoun County,5/17/1990,18.0
Loudoun County,5/23/1990,12.0
Loudoun County,6/10/1990,19.0
Loudoun County,6/16/1990,31.0
Loudoun County,6/22/1990,30.0
Loudoun County,6/28/1990,38.0
Loudoun County,7/4/1990,30.0
Loudoun County,7/10/1990,32.0
Loudoun County,7/16/1990,28.0
Loudoun County,7/22/1990,21.0
Loudoun County,7/28/1990,28.0
Loudoun County,8/3/1990,19.0
Loudoun County,8/9/1990,28.0
Loudoun County,8/15/1990,20.0
Loudoun County,8/21/1990,16.0
Loudoun County,8/27/1990,57.0
Loudoun County,9/2/1990,43.0
Loudoun County,9/8/1990,19.0
Loudoun County,9/14/1990,19.0
Loudoun County,9/20/1990,21.0
Loudoun County,9/26/1990,24.0
Loudoun County,10/20/1990,9.0
Loudoun County,10/26/1990,9.0
Loudoun County,11/1/1990,34.0
Loudoun County,11/7/1990,14.0
Loudoun County,11/13/1990,6.0
Loudoun County,11/19/1990,10.0
Loudoun County,11/25/1990,9.0
Loudoun County,12/1/1990,18.0
Loudoun County,12/7/1990,29.0
Loudoun County,12/13/1990,23.0
Loudoun County,12/19/1990,7.0
Loudoun County,12/31/1990,7.0
Loudoun County,1/6/1991,19.0
Loudoun County,1/12/1991,10.0
Loudoun County,1/18/1991,10.0
Loudoun County,1/24/1991,12.0
Loudoun County,1/30/1991,22.0
Loudoun County,2/5/1991,29.0
Loudoun County,2/11/1991,10.0
Loudoun County,2/17/1991,13.0
Loudoun County,2/23/1991,7.0
Loudoun County,3/1/1991,24.0
Loudoun County,3/7/1991,13.0
Loudoun County,3/13/1991,14.0
Loudoun County,3/19/1991,12.0
Loudoun County,3/25/1991,13.0
Loudoun County,3/31/1991,14.0
Loudoun County,4/6/1991,19.0
Loudoun County,4/12/1991,11.0
Loudoun County,4/18/1991,19.0
Loudoun County,4/30/1991,19.0
Loudoun County,5/6/1991,13.0
Loudoun County,5/12/1991,35.0
Loudoun County,5/18/1991,21.0
Loudoun County,5/24/1991,30.0
Loudoun County,5/30/1991,41.0
Loudoun County,6/5/1991,10.0
Loudoun County,6/11/1991,49.0
Loudoun County,6/17/1991,23.0
Loudoun County,6/23/1991,19.0
Loudoun County,6/29/1991,45.0
Loudoun County,7/5/1991,18.0
