Location,Year,Temperature_Change
"Loudoun County, VA",2000,
"Loudoun County, VA",2001,
"Loudoun County, VA",2002,
"Loudoun County, VA",2003,
"Loudoun County, VA",2004,
"Loudoun County, VA",2005,
"Loudoun County, VA",2006,
"Loudoun County, VA",2007,-0.1111705833333333
"Loudoun County, VA",2008,0.015123916666666718
"Loudoun County, VA",2009,-0.07852433333333332
"Loudoun County, VA",2010,-0.3748755
"Loudoun County, VA",2011,0.9661076666666667
"Loudoun County, VA",2012,1.3177895
"Loudoun County, VA",2013,1.93520075
"Loudoun County, VA",2014,0.35724875000000006
"Loudoun County, VA",2015,0.4692990833333333
"Loudoun County, VA",2016,0.7386930833333333
"Loudoun County, VA",2017,1.7419046666666667
"Loudoun County, VA",2018,1.4430514166666668
"Loudoun County, VA",2019,0.059587999999999974
"Loudoun County, VA",2020,1.4348801666666666
"Loudoun County, VA",2021,1.04585725
"Loudoun County, VA",2022,0.9922049166666667
"Loudoun County, VA",2023,0.08717574999999995
