Location,Year,Value
"Loudoun County, VA",2000,-0.1111705833333333
"Loudoun County, VA",2001,-0.1111705833333333
"Loudoun County, VA",2002,-0.1111705833333333
"Loudoun County, VA",2003,-0.1111705833333333
"Loudoun County, VA",2004,-0.1111705833333333
"Loudoun County, VA",2005,-0.1111705833333333
"Loudoun County, VA",2006,-0.1111705833333333
"Loudoun County, VA",2007,-0.1111705833333333
"Loudoun County, VA",2008,0.0151239166666667
"Loudoun County, VA",2009,-0.0785243333333333
"Loudoun County, VA",2010,-0.3748755
"Loudoun County, VA",2011,0.9661076666666668
"Loudoun County, VA",2012,1.3177895
"Loudoun County, VA",2013,1.93520075
"Loudoun County, VA",2014,0.35724875
"Loudoun County, VA",2015,0.4692990833333333
"Loudoun County, VA",2016,0.7386930833333333
"Loudoun County, VA",2017,1.7419046666666669
"Loudoun County, VA",2018,1.4430514166666668
"Loudoun County, VA",2019,0.0595879999999999
"Loudoun County, VA",2020,1.4348801666666666
"Loudoun County, VA",2021,1.04585725
"Loudoun County, VA",2022,0.9922049166666668
"Loudoun County, VA",2023,0.0871757499999999
