Location,Date,AQI
Loudoun County,2000,44.7
Loudoun County,2001,51.8
Loudoun County,2002,59.3
Loudoun County,2003,46.8
Loudoun County,2004,45.9
Loudoun County,2005,39.6
Loudoun County,2006,47.9
Loudoun County,2007,49.8
Loudoun County,2008,42.8
Loudoun County,2009,36.5
Loudoun County,2010,42.5
Loudoun County,2011,39.1
Loudoun County,2012,39.4
Loudoun County,2013,34.7
Loudoun County,2014,36.7
Loudoun County,2015,35.9
Loudoun County,2016,34.9
Loudoun County,2017,36.2
Loudoun County,2018,34.4
Loudoun County,2019,36.0
Loudoun County,2020,34.6
Loudoun County,2021,37.9
Loudoun County,2022,32.2
Loudoun County,2023,33.6
