Entity properties name,Variable observation date,Variable observation value
Montgomery County,1/1/2000,125
Montgomery County,1/4/2000,35
Montgomery County,1/7/2000,48
Montgomery County,1/10/2000,38
Montgomery County,1/13/2000,30
Montgomery County,1/16/2000,38
Montgomery County,1/19/2000,60
Montgomery County,1/22/2000,50
Montgomery County,1/25/2000,62
Montgomery County,1/31/2000,60
Montgomery County,2/3/2000,76
Montgomery County,2/9/2000,64
Montgomery County,2/12/2000,55
Montgomery County,2/15/2000,54
Montgomery County,2/18/2000,40
Montgomery County,2/21/2000,56
Montgomery County,2/24/2000,59
Montgomery County,2/27/2000,46
Montgomery County,3/1/2000,46
Montgomery County,3/4/2000,30
Montgomery County,3/7/2000,45
Montgomery County,3/10/2000,37
Montgomery County,3/13/2000,33
Montgomery County,3/16/2000,56
Montgomery County,3/19/2000,29
Montgomery County,3/22/2000,43
Montgomery County,3/25/2000,59
Montgomery County,3/28/2000,25
Montgomery County,4/1/2000,50
Montgomery County,4/2/2000,51
Montgomery County,4/3/2000,48
Montgomery County,4/4/2000,33
Montgomery County,4/5/2000,41
Montgomery County,4/6/2000,80
Montgomery County,4/7/2000,58
Montgomery County,4/8/2000,47
Montgomery County,4/9/2000,40
Montgomery County,4/10/2000,44
Montgomery County,4/11/2000,21
Montgomery County,4/12/2000,45
Montgomery County,4/13/2000,38
Montgomery County,4/14/2000,41
Montgomery County,4/15/2000,19
Montgomery County,4/16/2000,61
Montgomery County,4/17/2000,31
Montgomery County,4/18/2000,31
Montgomery County,4/19/2000,41
Montgomery County,4/20/2000,43
Montgomery County,4/21/2000,31
Montgomery County,4/22/2000,28
Montgomery County,4/23/2000,34
Montgomery County,4/24/2000,47
Montgomery County,4/25/2000,30
Montgomery County,4/26/2000,31
Montgomery County,4/27/2000,26
Montgomery County,4/28/2000,34
Montgomery County,4/29/2000,67
Montgomery County,4/30/2000,51
Montgomery County,5/1/2000,100
Montgomery County,5/2/2000,50
Montgomery County,5/3/2000,74
Montgomery County,5/4/2000,97
Montgomery County,5/5/2000,80
Montgomery County,5/6/2000,115
Montgomery County,5/7/2000,119
Montgomery County,5/8/2000,147
Montgomery County,5/9/2000,119
Montgomery County,5/10/2000,64
Montgomery County,5/11/2000,61
Montgomery County,5/12/2000,112
Montgomery County,5/13/2000,67
Montgomery County,5/14/2000,67
Montgomery County,5/15/2000,61
Montgomery County,5/16/2000,93
Montgomery County,5/17/2000,112
Montgomery County,5/18/2000,105
Montgomery County,5/19/2000,54
Montgomery County,5/20/2000,24
Montgomery County,5/21/2000,43
Montgomery County,5/22/2000,30
Montgomery County,5/23/2000,40
Montgomery County,5/24/2000,74
Montgomery County,5/25/2000,71
Montgomery County,5/26/2000,93
Montgomery County,5/27/2000,52
Montgomery County,5/28/2000,34
Montgomery County,5/29/2000,29
Montgomery County,5/30/2000,33
Montgomery County,5/31/2000,36
Montgomery County,6/1/2000,126
Montgomery County,6/2/2000,140
Montgomery County,6/3/2000,44
Montgomery County,6/4/2000,58
Montgomery County,6/5/2000,32
Montgomery County,6/6/2000,22
Montgomery County,6/7/2000,44
Montgomery County,6/8/2000,74
Montgomery County,6/9/2000,156
Montgomery County,6/10/2000,156
Montgomery County,6/11/2000,103
Montgomery County,6/12/2000,80
Montgomery County,6/13/2000,20
Montgomery County,6/14/2000,41
Montgomery County,6/15/2000,38
Montgomery County,6/16/2000,48
Montgomery County,6/17/2000,42
Montgomery County,6/18/2000,37
Montgomery County,6/19/2000,28
Montgomery County,6/20/2000,97
Montgomery County,6/21/2000,54
Montgomery County,6/22/2000,58
Montgomery County,6/23/2000,77
Montgomery County,6/24/2000,140
Montgomery County,6/25/2000,129
Montgomery County,6/26/2000,57
Montgomery County,6/28/2000,18
Montgomery County,6/29/2000,67
Montgomery County,6/30/2000,74
Montgomery County,7/1/2000,90
Montgomery County,7/2/2000,90
Montgomery County,7/3/2000,87
Montgomery County,7/4/2000,45
Montgomery County,7/5/2000,71
Montgomery County,7/6/2000,71
Montgomery County,7/7/2000,37
Montgomery County,7/8/2000,40
Montgomery County,7/9/2000,112
Montgomery County,7/10/2000,87
Montgomery County,7/11/2000,42
Montgomery County,7/12/2000,47
Montgomery County,7/13/2000,24
Montgomery County,7/14/2000,77
Montgomery County,7/15/2000,46
Montgomery County,7/16/2000,48
Montgomery County,7/17/2000,67
Montgomery County,7/18/2000,87
Montgomery County,7/19/2000,21
Montgomery County,7/20/2000,54
Montgomery County,7/21/2000,84
Montgomery County,7/22/2000,47
Montgomery County,7/23/2000,57
Montgomery County,7/24/2000,26
Montgomery County,7/25/2000,37
Montgomery County,7/26/2000,17
Montgomery County,7/27/2000,20
Montgomery County,7/28/2000,80
Montgomery County,7/29/2000,90
Montgomery County,8/1/2000,52
Montgomery County,8/4/2000,67
Montgomery County,8/7/2000,70
Montgomery County,8/8/2000,46
Montgomery County,8/9/2000,46
Montgomery County,8/10/2000,66
Montgomery County,8/11/2000,41
Montgomery County,8/12/2000,33
Montgomery County,8/13/2000,37
Montgomery County,8/14/2000,24
Montgomery County,8/15/2000,67
Montgomery County,8/16/2000,76
Montgomery County,8/17/2000,25
Montgomery County,8/18/2000,10
Montgomery County,8/19/2000,43
Montgomery County,8/20/2000,28
Montgomery County,8/21/2000,35
Montgomery County,8/22/2000,74
Montgomery County,8/23/2000,47
Montgomery County,8/24/2000,41
Montgomery County,8/25/2000,64
Montgomery County,8/26/2000,64
Montgomery County,8/27/2000,39
Montgomery County,8/28/2000,55
Montgomery County,8/29/2000,21
Montgomery County,8/30/2000,14
