Entity properties name,Variable observation date,Variable observation value
Montgomery County,2000,15.82500000
Montgomery County,2001,15.45000000
Montgomery County,2002,15.12000000
Montgomery County,2003,14.85000000
Montgomery County,2004,14.52000000
Montgomery County,2005,14.15000000
Montgomery County,2006,13.85000000
Montgomery County,2007,13.42000000
Montgomery County,2008,12.95000000
Montgomery County,2009,12.45000000
Montgomery County,2010,11.95000000
Montgomery County,2011,11.52000000
Montgomery County,2012,11.15000000
Montgomery County,2013,10.85000000
Montgomery County,2014,10.55000000
Montgomery County,2015,10.35800815
Montgomery County,2016,10.22542814
Montgomery County,2017,9.505379945
Montgomery County,2018,9.999948168
Montgomery County,2019,8.510955051
Montgomery County,2020,8.420434588
Montgomery County,2021,8.588791223
Montgomery County,2022,8.592672302
Montgomery County,2023,7.873369216
