Entity properties name,Variable observation date,Variable observation value
Montgomery County,2000,86450
Montgomery County,2001,87320
Montgomery County,2002,88250
Montgomery County,2003,89340
Montgomery County,2004,90580
Montgomery County,2005,91890
Montgomery County,2006,92950
Montgomery County,2007,93840
Montgomery County,2008,94380
Montgomery County,2009,94820
Montgomery County,2010,95240
Montgomery County,2011,95660
Montgomery County,2012,96985
Montgomery County,2013,98221
Montgomery County,2014,98704
Montgomery County,2015,99435
Montgomery County,2016,100352
Montgomery County,2017,103178
Montgomery County,2018,106287
Montgomery County,2019,108820
Montgomery County,2020,111812
Montgomery County,2021,117345
Montgomery County,2022,125583
Montgomery County,2023,128733
