Entity properties name,Variable observation date,Variable observation value
Montgomery County,2000-01,469293
Montgomery County,2000-02,470399
Montgomery County,2000-03,473698
Montgomery County,2000-04,471724
Montgomery County,2000-05,469856
Montgomery County,2000-06,475928
Montgomery County,2000-07,479170
Montgomery County,2000-08,476631
Montgomery County,2000-09,474306
Montgomery County,2000-10,477124
Montgomery County,2000-11,477901
Montgomery County,2000-12,479462
Montgomery County,2001-01,474696
Montgomery County,2001-02,474463
Montgomery County,2001-03,477085
Montgomery County,2001-04,473936
Montgomery County,2001-05,474393
Montgomery County,2001-06,478172
Montgomery County,2001-07,480613
Montgomery County,2001-08,472981
Montgomery County,2001-09,473551
Montgomery County,2001-10,476752
Montgomery County,2001-11,476759
Montgomery County,2001-12,478034
Montgomery County,2002-01,471727
Montgomery County,2002-02,474754
Montgomery County,2002-03,477371
Montgomery County,2002-04,475770
Montgomery County,2002-05,477292
Montgomery County,2002-06,481038
Montgomery County,2002-07,486736
Montgomery County,2002-08,483134
Montgomery County,2002-09,481632
Montgomery County,2002-10,481495
Montgomery County,2002-11,479156
Montgomery County,2002-12,479228
Montgomery County,2003-01,477414
Montgomery County,2003-02,474392
Montgomery County,2003-03,477383
Montgomery County,2003-04,478425
Montgomery County,2003-05,477614
Montgomery County,2003-06,484360
Montgomery County,2003-07,489023
Montgomery County,2003-08,482658
Montgomery County,2003-09,477583
Montgomery County,2003-10,480250
Montgomery County,2003-11,480495
Montgomery County,2003-12,479923
Montgomery County,2004-01,475795
Montgomery County,2004-02,474465
Montgomery County,2004-03,476438
Montgomery County,2004-04,475428
Montgomery County,2004-05,476096
Montgomery County,2004-06,479251
Montgomery County,2004-07,487059
Montgomery County,2004-08,481979
Montgomery County,2004-09,479124
Montgomery County,2004-10,483329
Montgomery County,2004-11,483510
Montgomery County,2004-12,482857
Montgomery County,2005-01,479761
Montgomery County,2005-02,478586
Montgomery County,2005-03,481847
Montgomery County,2005-04,483564
Montgomery County,2005-05,485757
Montgomery County,2005-06,491251
Montgomery County,2005-07,496402
Montgomery County,2005-08,492261
Montgomery County,2005-09,488615
Montgomery County,2005-10,492843
Montgomery County,2005-11,491764
Montgomery County,2005-12,494053
Montgomery County,2006-01,491598
Montgomery County,2006-02,491959
Montgomery County,2006-03,495729
Montgomery County,2006-04,494253
Montgomery County,2006-05,494193
Montgomery County,2006-06,499743
Montgomery County,2006-07,504617
Montgomery County,2006-08,500129
Montgomery County,2006-09,497941
Montgomery County,2006-10,500982
Montgomery County,2006-11,500927
Montgomery County,2006-12,501377
Montgomery County,2007-01,495371
Montgomery County,2007-02,492661
Montgomery County,2007-03,496219
Montgomery County,2007-04,493982
Montgomery County,2007-05,494183
Montgomery County,2007-06,499910
Montgomery County,2007-07,506587
Montgomery County,2007-08,499193
Montgomery County,2007-09,498142
Montgomery County,2007-10,500711
Montgomery County,2007-11,502224
Montgomery County,2007-12,499744
Montgomery County,2008-01,500554
Montgomery County,2008-02,497826
Montgomery County,2008-03,500698
Montgomery County,2008-04,503584
Montgomery County,2008-05,502783
Montgomery County,2008-06,505692
Montgomery County,2008-07,513075
Montgomery County,2008-08,505066
Montgomery County,2008-09,501481
Montgomery County,2008-10,502636
Montgomery County,2008-11,500361
Montgomery County,2008-12,497157
Montgomery County,2009-01,495001
Montgomery County,2009-02,492204
Montgomery County,2009-03,494317
Montgomery County,2009-04,494654
Montgomery County,2009-05,492782
Montgomery County,2009-06,496888
Montgomery County,2009-07,503431
Montgomery County,2009-08,496440
Montgomery County,2009-09,490933
Montgomery County,2009-10,491767
Montgomery County,2009-11,493736
Montgomery County,2009-12,490834
Montgomery County,2010-01,492673
Montgomery County,2010-02,492534
Montgomery County,2010-03,496003
Montgomery County,2010-04,502958
Montgomery County,2010-05,501789
Montgomery County,2010-06,504326
Montgomery County,2010-07,511192
