Entity properties name,Variable observation date,Variable observation value
Montgomery County,2000,877478
Montgomery County,2001,891764
Montgomery County,2002,903140
Montgomery County,2003,910498
Montgomery County,2004,914991
Montgomery County,2005,921531
Montgomery County,2006,926492
Montgomery County,2007,931694
Montgomery County,2008,942748
Montgomery County,2009,959013
Montgomery County,2010,975619
Montgomery County,2011,991325
Montgomery County,2012,1005310
Montgomery County,2013,1015534
Montgomery County,2014,1025063
Montgomery County,2015,1033370
Montgomery County,2016,1039327
Montgomery County,2017,1047239
Montgomery County,2018,1048794
Montgomery County,2019,1051129
Montgomery County,2020,1051816
Montgomery County,2021,1054827
Montgomery County,2022,1053067
Montgomery County,2023,1058474
