Entity properties name,Variable observation date,Variable observation value
Montgomery County,2000,-0.470897
Montgomery County,2001,-0.370897
Montgomery County,2002,-0.270897
Montgomery County,2003,-0.220897
Montgomery County,2004,-0.170897
Montgomery County,2005,-0.120897
Montgomery County,2006,-0.090897
Montgomery County,2007,-0.070897
Montgomery County,2008,-0.072591
Montgomery County,2009,-0.131937
Montgomery County,2010,-0.374109
Montgomery County,2011,0.634108
Montgomery County,2012,1.113823
Montgomery County,2013,1.868473
Montgomery County,2014,0.165901
Montgomery County,2015,0.391122
Montgomery County,2016,0.605840
Montgomery County,2017,1.560649
Montgomery County,2018,1.168348
Montgomery County,2019,-0.058351
Montgomery County,2020,1.565864
Montgomery County,2021,1.119027
Montgomery County,2022,0.893483
Montgomery County,2023,0.056105
