Location,Year,AQI
"Montgomery County, MD",2000,
"Montgomery County, MD",2001,
"Montgomery County, MD",2002,
"Montgomery County, MD",2003,
"Montgomery County, MD",2004,
"Montgomery County, MD",2005,
"Montgomery County, MD",2006,
"Montgomery County, MD",2007,
"Montgomery County, MD",2008,
"Montgomery County, MD",2009,
"Montgomery County, MD",2010,
"Montgomery County, MD",2011,
"Montgomery County, MD",2012,
"Montgomery County, MD",2013,
"Montgomery County, MD",2014,
"Montgomery County, MD",2015,
"Montgomery County, MD",2016,
"Montgomery County, MD",2017,
"Montgomery County, MD",2018,
"Montgomery County, MD",2019,
"Montgomery County, MD",2020,
"Montgomery County, MD",2021,
"Montgomery County, MD",2022,
"Montgomery County, MD",2023,
