Location,Date,AQI
Montgomery County,1/1/2000,125.0
Montgomery County,1/4/2000,35.0
Montgomery County,1/7/2000,48.0
Montgomery County,1/10/2000,38.0
Montgomery County,1/13/2000,30.0
Montgomery County,1/16/2000,38.0
Montgomery County,1/19/2000,60.0
Montgomery County,1/22/2000,50.0
Montgomery County,1/25/2000,62.0
Montgomery County,1/31/2000,60.0
Montgomery County,2/3/2000,76.0
Montgomery County,2/9/2000,64.0
Montgomery County,2/12/2000,55.0
Montgomery County,2/15/2000,54.0
Montgomery County,2/18/2000,40.0
Montgomery County,2/21/2000,56.0
Montgomery County,2/24/2000,59.0
Montgomery County,2/27/2000,46.0
Montgomery County,3/1/2000,46.0
Montgomery County,3/4/2000,30.0
Montgomery County,3/7/2000,45.0
Montgomery County,3/10/2000,37.0
Montgomery County,3/13/2000,33.0
Montgomery County,3/16/2000,56.0
Montgomery County,3/19/2000,29.0
Montgomery County,3/22/2000,43.0
Montgomery County,3/25/2000,59.0
Montgomery County,3/28/2000,25.0
Montgomery County,4/1/2000,50.0
Montgomery County,4/2/2000,51.0
Montgomery County,4/3/2000,48.0
Montgomery County,4/4/2000,33.0
Montgomery County,4/5/2000,41.0
Montgomery County,4/6/2000,80.0
Montgomery County,4/7/2000,58.0
Montgomery County,4/8/2000,47.0
Montgomery County,4/9/2000,40.0
Montgomery County,4/10/2000,44.0
Montgomery County,4/11/2000,21.0
Montgomery County,4/12/2000,45.0
Montgomery County,4/13/2000,38.0
Montgomery County,4/14/2000,41.0
Montgomery County,4/15/2000,19.0
Montgomery County,4/16/2000,61.0
Montgomery County,4/17/2000,31.0
Montgomery County,4/18/2000,31.0
Montgomery County,4/19/2000,41.0
Montgomery County,4/20/2000,43.0
Montgomery County,4/21/2000,31.0
Montgomery County,4/22/2000,28.0
Montgomery County,4/23/2000,34.0
Montgomery County,4/24/2000,47.0
Montgomery County,4/25/2000,30.0
Montgomery County,4/26/2000,31.0
Montgomery County,4/27/2000,26.0
Montgomery County,4/28/2000,34.0
Montgomery County,4/29/2000,67.0
Montgomery County,4/30/2000,51.0
Montgomery County,5/1/2000,100.0
Montgomery County,5/2/2000,50.0
Montgomery County,5/3/2000,74.0
Montgomery County,5/4/2000,97.0
Montgomery County,5/5/2000,80.0
Montgomery County,5/6/2000,115.0
Montgomery County,5/7/2000,119.0
Montgomery County,5/8/2000,147.0
Montgomery County,5/9/2000,119.0
Montgomery County,5/10/2000,64.0
Montgomery County,5/11/2000,61.0
Montgomery County,5/12/2000,112.0
Montgomery County,5/13/2000,67.0
Montgomery County,5/14/2000,67.0
Montgomery County,5/15/2000,61.0
Montgomery County,5/16/2000,93.0
Montgomery County,5/17/2000,112.0
Montgomery County,5/18/2000,105.0
Montgomery County,5/19/2000,54.0
Montgomery County,5/20/2000,24.0
Montgomery County,5/21/2000,43.0
Montgomery County,5/22/2000,30.0
Montgomery County,5/23/2000,40.0
Montgomery County,5/24/2000,74.0
Montgomery County,5/25/2000,71.0
Montgomery County,5/26/2000,93.0
Montgomery County,5/27/2000,52.0
Montgomery County,5/28/2000,34.0
Montgomery County,5/29/2000,29.0
Montgomery County,5/30/2000,33.0
Montgomery County,5/31/2000,36.0
Montgomery County,6/1/2000,126.0
Montgomery County,6/2/2000,140.0
Montgomery County,6/3/2000,44.0
Montgomery County,6/4/2000,58.0
Montgomery County,6/5/2000,32.0
Montgomery County,6/6/2000,22.0
Montgomery County,6/7/2000,44.0
Montgomery County,6/8/2000,74.0
Montgomery County,6/9/2000,156.0
Montgomery County,6/10/2000,156.0
Montgomery County,6/11/2000,103.0
Montgomery County,6/12/2000,80.0
Montgomery County,6/13/2000,20.0
Montgomery County,6/14/2000,41.0
Montgomery County,6/15/2000,38.0
Montgomery County,6/16/2000,48.0
Montgomery County,6/17/2000,42.0
Montgomery County,6/18/2000,37.0
Montgomery County,6/19/2000,28.0
Montgomery County,6/20/2000,97.0
Montgomery County,6/21/2000,54.0
Montgomery County,6/22/2000,58.0
Montgomery County,6/23/2000,77.0
Montgomery County,6/24/2000,140.0
Montgomery County,6/25/2000,129.0
Montgomery County,6/26/2000,57.0
Montgomery County,6/28/2000,18.0
Montgomery County,6/29/2000,67.0
Montgomery County,6/30/2000,74.0
Montgomery County,7/1/2000,90.0
Montgomery County,7/2/2000,90.0
Montgomery County,7/3/2000,87.0
Montgomery County,7/4/2000,45.0
Montgomery County,7/5/2000,71.0
Montgomery County,7/6/2000,71.0
Montgomery County,7/7/2000,37.0
Montgomery County,7/8/2000,40.0
Montgomery County,7/9/2000,112.0
Montgomery County,7/10/2000,87.0
Montgomery County,7/11/2000,42.0
Montgomery County,7/12/2000,47.0
Montgomery County,7/13/2000,24.0
Montgomery County,7/14/2000,77.0
Montgomery County,7/15/2000,46.0
Montgomery County,7/16/2000,48.0
Montgomery County,7/17/2000,67.0
Montgomery County,7/18/2000,87.0
Montgomery County,7/19/2000,21.0
Montgomery County,7/20/2000,54.0
Montgomery County,7/21/2000,84.0
Montgomery County,7/22/2000,47.0
Montgomery County,7/23/2000,57.0
Montgomery County,7/24/2000,26.0
Montgomery County,7/25/2000,37.0
Montgomery County,7/26/2000,17.0
Montgomery County,7/27/2000,20.0
Montgomery County,7/28/2000,80.0
Montgomery County,7/29/2000,90.0
Montgomery County,8/1/2000,52.0
Montgomery County,8/4/2000,67.0
Montgomery County,8/7/2000,70.0
Montgomery County,8/8/2000,46.0
Montgomery County,8/9/2000,46.0
Montgomery County,8/10/2000,66.0
Montgomery County,8/11/2000,41.0
Montgomery County,8/12/2000,33.0
Montgomery County,8/13/2000,37.0
Montgomery County,8/14/2000,24.0
Montgomery County,8/15/2000,67.0
Montgomery County,8/16/2000,76.0
Montgomery County,8/17/2000,25.0
Montgomery County,8/18/2000,10.0
Montgomery County,8/19/2000,43.0
Montgomery County,8/20/2000,28.0
Montgomery County,8/21/2000,35.0
Montgomery County,8/22/2000,74.0
Montgomery County,8/23/2000,47.0
Montgomery County,8/24/2000,41.0
Montgomery County,8/25/2000,64.0
Montgomery County,8/26/2000,64.0
Montgomery County,8/27/2000,39.0
Montgomery County,8/28/2000,55.0
Montgomery County,8/29/2000,21.0
Montgomery County,8/30/2000,14.0
Montgomery County,8/31/2000,43.0
Montgomery County,9/1/2000,29.0
Montgomery County,9/2/2000,25.0
Montgomery County,9/3/2000,35.0
Montgomery County,9/4/2000,32.0
Montgomery County,9/5/2000,25.0
Montgomery County,9/6/2000,26.0
Montgomery County,9/7/2000,29.0
Montgomery County,9/8/2000,33.0
Montgomery County,9/9/2000,64.0
Montgomery County,9/10/2000,97.0
Montgomery County,9/11/2000,29.0
Montgomery County,9/12/2000,59.0
Montgomery County,9/13/2000,41.0
Montgomery County,9/14/2000,35.0
Montgomery County,9/15/2000,43.0
Montgomery County,9/16/2000,17.0
Montgomery County,9/17/2000,35.0
Montgomery County,9/18/2000,48.0
Montgomery County,9/19/2000,12.0
Montgomery County,9/20/2000,100.0
Montgomery County,9/21/2000,38.0
Montgomery County,9/22/2000,29.0
Montgomery County,9/23/2000,21.0
Montgomery County,9/24/2000,52.0
Montgomery County,9/25/2000,23.0
Montgomery County,9/26/2000,24.0
Montgomery County,9/27/2000,38.0
Montgomery County,9/28/2000,36.0
Montgomery County,9/30/2000,37.0
Montgomery County,10/3/2000,70.0
Montgomery County,10/4/2000,51.0
Montgomery County,10/5/2000,18.0
Montgomery County,10/6/2000,76.0
Montgomery County,10/7/2000,32.0
Montgomery County,10/8/2000,27.0
Montgomery County,10/9/2000,34.0
Montgomery County,10/10/2000,24.0
Montgomery County,10/11/2000,35.0
Montgomery County,10/12/2000,48.0
Montgomery County,10/15/2000,67.0
Montgomery County,10/16/2000,45.0
Montgomery County,10/17/2000,29.0
Montgomery County,10/18/2000,51.0
Montgomery County,10/19/2000,39.0
Montgomery County,10/20/2000,36.0
Montgomery County,10/21/2000,74.0
Montgomery County,10/22/2000,41.0
Montgomery County,10/23/2000,20.0
Montgomery County,10/24/2000,41.0
Montgomery County,10/25/2000,27.0
Montgomery County,10/26/2000,10.0
Montgomery County,10/27/2000,91.0
Montgomery County,10/28/2000,28.0
