Location,Year,Employment
"Montgomery County, MD",2000,474966.0
"Montgomery County, MD",2001,475886.0
"Montgomery County, MD",2002,479145.0
"Montgomery County, MD",2003,479626.0
"Montgomery County, MD",2004,479694.0
"Montgomery County, MD",2005,488058.0
"Montgomery County, MD",2006,497677.0
"Montgomery County, MD",2007,498241.0
"Montgomery County, MD",2008,502901.0
"Montgomery County, MD",2009,494882.0
"Montgomery County, MD",2010,502091.0
"Montgomery County, MD",2011,508596.0
"Montgomery County, MD",2012,513109.0
"Montgomery County, MD",2013,516410.0
"Montgomery County, MD",2014,520865.0
"Montgomery County, MD",2015,526227.0
"Montgomery County, MD",2016,526507.0
"Montgomery County, MD",2017,543313.0
"Montgomery County, MD",2018,548586.0
"Montgomery County, MD",2019,561495.0
"Montgomery County, MD",2020,523525.0
"Montgomery County, MD",2021,516016.0
"Montgomery County, MD",2022,528341.0
"Montgomery County, MD",2023,538162.0
