Location,Date,AQI
Montgomery County,2000,55.8
Montgomery County,2001,61.7
Montgomery County,2002,63.4
Montgomery County,2003,47.2
Montgomery County,2004,51.9
Montgomery County,2005,45.3
Montgomery County,2006,54.1
Montgomery County,2007,61.5
Montgomery County,2008,57.8
Montgomery County,2009,48.2
Montgomery County,2010,52.6
Montgomery County,2011,50.1
Montgomery County,2012,48.9
Montgomery County,2013,44.7
Montgomery County,2014,47.2
Montgomery County,2015,43.1
Montgomery County,2016,42.8
Montgomery County,2017,41.9
Montgomery County,2018,41.2
Montgomery County,2019,39.8
Montgomery County,2020,37.9
Montgomery County,2021,38.4
Montgomery County,2022,36.7
