"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/24033","","Prince George's County","Median_Income_Household","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",73447,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",73568,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",73623,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",73856,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",74260,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",75925,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",78607,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",81969,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",84920,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",86994,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",91124,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",97935,"Median Income for All Households"
"geoId/24033","","Prince George's County","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",100708,"Median Income for All Households"
