"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-01","BLS_LAUS","https://www.bls.gov/lau/","","","",404674,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-02","BLS_LAUS","https://www.bls.gov/lau/","","","",404501,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-03","BLS_LAUS","https://www.bls.gov/lau/","","","",406517,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-04","BLS_LAUS","https://www.bls.gov/lau/","","","",405102,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-05","BLS_LAUS","https://www.bls.gov/lau/","","","",407693,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-06","BLS_LAUS","https://www.bls.gov/lau/","","","",413912,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-07","BLS_LAUS","https://www.bls.gov/lau/","","","",418441,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-08","BLS_LAUS","https://www.bls.gov/lau/","","","",412040,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-09","BLS_LAUS","https://www.bls.gov/lau/","","","",408926,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-10","BLS_LAUS","https://www.bls.gov/lau/","","","",409160,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-11","BLS_LAUS","https://www.bls.gov/lau/","","","",405711,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1990-12","BLS_LAUS","https://www.bls.gov/lau/","","","",405679,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-01","BLS_LAUS","https://www.bls.gov/lau/","","","",403020,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-02","BLS_LAUS","https://www.bls.gov/lau/","","","",402577,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-03","BLS_LAUS","https://www.bls.gov/lau/","","","",406105,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-04","BLS_LAUS","https://www.bls.gov/lau/","","","",406768,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-05","BLS_LAUS","https://www.bls.gov/lau/","","","",406869,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-06","BLS_LAUS","https://www.bls.gov/lau/","","","",413132,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-07","BLS_LAUS","https://www.bls.gov/lau/","","","",418445,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-08","BLS_LAUS","https://www.bls.gov/lau/","","","",414064,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-09","BLS_LAUS","https://www.bls.gov/lau/","","","",413466,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-10","BLS_LAUS","https://www.bls.gov/lau/","","","",413263,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-11","BLS_LAUS","https://www.bls.gov/lau/","","","",412646,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1991-12","BLS_LAUS","https://www.bls.gov/lau/","","","",412055,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-01","BLS_LAUS","https://www.bls.gov/lau/","","","",407968,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-02","BLS_LAUS","https://www.bls.gov/lau/","","","",406152,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-03","BLS_LAUS","https://www.bls.gov/lau/","","","",410085,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-04","BLS_LAUS","https://www.bls.gov/lau/","","","",411634,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-05","BLS_LAUS","https://www.bls.gov/lau/","","","",413073,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-06","BLS_LAUS","https://www.bls.gov/lau/","","","",418756,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-07","BLS_LAUS","https://www.bls.gov/lau/","","","",423711,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-08","BLS_LAUS","https://www.bls.gov/lau/","","","",416874,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-09","BLS_LAUS","https://www.bls.gov/lau/","","","",414697,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-10","BLS_LAUS","https://www.bls.gov/lau/","","","",414430,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-11","BLS_LAUS","https://www.bls.gov/lau/","","","",414788,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1992-12","BLS_LAUS","https://www.bls.gov/lau/","","","",415939,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1993-01","BLS_LAUS","https://www.bls.gov/lau/","","","",404961,"Population With Current Employment"
"geoId/24033","","Prince George's County","Count_Person_Employed","1993-02","BLS_LAUS","https://www.bls.gov/lau/","","","",404150,"Population With Current Employment"
