Location,Date,AQI
Prince George's County,1980-01-01,6.0
Prince George's County,1980-01-02,6.0
Prince George's County,1980-01-03,28.0
Prince George's County,1980-01-04,4.0
Prince George's County,1980-01-05,16.0
Prince George's County,1980-01-06,20.0
Prince George's County,1980-01-07,15.0
Prince George's County,1980-01-08,30.0
Prince George's County,1980-01-09,35.0
Prince George's County,1980-01-10,31.0
Prince George's County,1980-01-11,30.0
Prince George's County,1980-01-12,29.0
Prince George's County,1980-01-13,27.0
Prince George's County,1980-01-14,23.0
Prince George's County,1980-01-15,26.0
Prince George's County,1980-01-16,42.0
Prince George's County,1980-01-17,33.0
Prince George's County,1980-01-18,16.0
Prince George's County,1980-01-19,21.0
Prince George's County,1980-01-20,25.0
Prince George's County,1980-01-21,29.0
Prince George's County,1980-01-22,22.0
Prince George's County,1980-01-24,23.0
Prince George's County,1980-01-25,29.0
Prince George's County,1980-01-26,29.0
Prince George's County,1980-01-27,30.0
Prince George's County,1980-01-28,36.0
Prince George's County,1980-01-29,22.0
Prince George's County,1980-01-30,26.0
Prince George's County,1980-01-31,25.0
Prince George's County,1980-02-01,28.0
Prince George's County,1980-02-02,29.0
Prince George's County,1980-02-03,30.0
Prince George's County,1980-02-04,25.0
Prince George's County,1980-02-05,35.0
Prince George's County,1980-02-06,37.0
Prince George's County,1980-02-07,32.0
Prince George's County,1980-02-08,31.0
Prince George's County,1980-02-09,29.0
Prince George's County,1980-02-10,31.0
Prince George's County,1980-02-11,51.0
Prince George's County,1980-02-12,35.0
Prince George's County,1980-02-13,37.0
Prince George's County,1980-02-14,66.0
Prince George's County,1980-02-15,40.0
Prince George's County,1980-02-16,28.0
Prince George's County,1980-02-17,31.0
Prince George's County,1980-02-18,33.0
Prince George's County,1980-02-19,41.0
Prince George's County,1980-02-20,63.0
Prince George's County,1980-02-21,31.0
Prince George's County,1980-02-22,26.0
Prince George's County,1980-02-23,43.0
Prince George's County,1980-02-24,32.0
Prince George's County,1980-02-25,24.0
Prince George's County,1980-02-26,32.0
Prince George's County,1980-02-27,27.0
Prince George's County,1980-02-28,32.0
Prince George's County,1980-02-29,32.0
Prince George's County,1980-03-01,30.0
Prince George's County,1980-03-02,36.0
Prince George's County,1980-03-03,41.0
Prince George's County,1980-03-04,86.0
Prince George's County,1980-03-05,40.0
Prince George's County,1980-03-06,34.0
Prince George's County,1980-03-07,57.0
Prince George's County,1980-03-08,41.0
Prince George's County,1980-03-09,51.0
Prince George's County,1980-03-10,47.0
Prince George's County,1980-03-11,46.0
Prince George's County,1980-03-12,28.0
Prince George's County,1980-03-13,31.0
Prince George's County,1980-03-14,29.0
Prince George's County,1980-03-15,50.0
Prince George's County,1980-03-16,50.0
Prince George's County,1980-03-17,32.0
Prince George's County,1980-03-18,39.0
Prince George's County,1980-03-19,41.0
Prince George's County,1980-03-20,38.0
Prince George's County,1980-03-21,13.0
Prince George's County,1980-03-24,18.0
Prince George's County,1980-03-25,26.0
Prince George's County,1980-03-26,36.0
Prince George's County,1980-03-27,51.0
Prince George's County,1980-03-28,42.0
Prince George's County,1980-03-29,22.0
Prince George's County,1980-03-30,30.0
Prince George's County,1980-03-31,29.0
Prince George's County,1980-04-01,49.0
Prince George's County,1980-04-02,54.0
Prince George's County,1980-04-03,46.0
Prince George's County,1980-04-04,41.0
Prince George's County,1980-04-05,64.0
Prince George's County,1980-04-06,64.0
Prince George's County,1980-04-07,47.0
Prince George's County,1980-04-08,50.0
Prince George's County,1980-04-09,49.0
Prince George's County,1980-04-10,36.0
Prince George's County,1980-04-12,54.0
Prince George's County,1980-04-13,44.0
Prince George's County,1980-04-14,30.0
Prince George's County,1980-04-15,31.0
Prince George's County,1980-04-16,28.0
Prince George's County,1980-04-17,51.0
Prince George's County,1980-04-18,61.0
Prince George's County,1980-04-19,100.0
Prince George's County,1980-04-20,100.0
Prince George's County,1980-04-21,46.0
Prince George's County,1980-04-22,47.0
Prince George's County,1980-04-24,49.0
Prince George's County,1980-04-25,47.0
Prince George's County,1980-04-26,18.0
Prince George's County,1980-04-27,16.0
Prince George's County,1980-04-28,10.0
Prince George's County,1980-04-29,37.0
Prince George's County,1980-04-30,34.0
Prince George's County,1980-05-01,29.0
Prince George's County,1980-05-02,47.0
Prince George's County,1980-05-03,50.0
Prince George's County,1980-05-04,43.0
Prince George's County,1980-05-05,51.0
Prince George's County,1980-05-06,71.0
Prince George's County,1980-05-07,64.0
Prince George's County,1980-05-09,25.0
Prince George's County,1980-05-10,54.0
Prince George's County,1980-05-11,39.0
Prince George's County,1980-05-12,46.0
Prince George's County,1980-05-13,42.0
Prince George's County,1980-05-15,42.0
Prince George's County,1980-05-16,60.0
Prince George's County,1980-05-17,61.0
Prince George's County,1980-05-18,36.0
Prince George's County,1980-05-19,34.0
Prince George's County,1980-05-20,43.0
Prince George's County,1980-05-21,38.0
Prince George's County,1980-05-22,97.0
Prince George's County,1980-05-23,58.0
Prince George's County,1980-05-24,66.0
Prince George's County,1980-05-25,52.0
Prince George's County,1980-05-26,57.0
Prince George's County,1980-05-27,67.0
Prince George's County,1980-05-28,105.0
Prince George's County,1980-05-29,161.0
Prince George's County,1980-05-30,90.0
Prince George's County,1980-05-31,42.0
Prince George's County,1980-06-01,90.0
Prince George's County,1980-06-02,48.0
Prince George's County,1980-06-03,34.0
Prince George's County,1980-06-05,45.0
Prince George's County,1980-06-06,50.0
Prince George's County,1980-06-07,64.0
Prince George's County,1980-06-08,39.0
Prince George's County,1980-06-09,39.0
Prince George's County,1980-06-10,50.0
Prince George's County,1980-06-11,53.0
Prince George's County,1980-06-12,85.0
Prince George's County,1980-06-13,156.0
Prince George's County,1980-06-14,177.0
Prince George's County,1980-06-15,108.0
Prince George's County,1980-06-16,57.0
Prince George's County,1980-06-17,58.0
Prince George's County,1980-06-18,90.0
Prince George's County,1980-06-19,84.0
Prince George's County,1980-06-20,40.0
Prince George's County,1980-06-21,58.0
Prince George's County,1980-06-22,112.0
Prince George's County,1980-06-23,133.0
Prince George's County,1980-06-25,58.0
Prince George's County,1980-06-26,24.0
Prince George's County,1980-06-27,133.0
Prince George's County,1980-06-28,182.0
Prince George's County,1980-06-29,164.0
Prince George's County,1980-07-01,190.0
Prince George's County,1980-07-02,206.0
Prince George's County,1980-07-03,58.0
Prince George's County,1980-07-04,192.0
Prince George's County,1980-07-05,136.0
Prince George's County,1980-07-06,51.0
Prince George's County,1980-07-07,136.0
Prince George's County,1980-07-08,67.0
Prince George's County,1980-07-09,164.0
Prince George's County,1980-07-10,119.0
Prince George's County,1980-07-11,161.0
Prince George's County,1980-07-12,136.0
Prince George's County,1980-07-13,97.0
Prince George's County,1980-07-14,164.0
Prince George's County,1980-07-15,108.0
Prince George's County,1980-07-16,154.0
Prince George's County,1980-07-17,101.0
Prince George's County,1980-07-18,143.0
Prince George's County,1980-07-19,218.0
Prince George's County,1980-07-20,213.0
Prince George's County,1980-07-21,225.0
Prince George's County,1980-07-22,49.0
Prince George's County,1980-07-23,49.0
Prince George's County,1980-07-24,147.0
Prince George's County,1980-07-25,209.0
Prince George's County,1980-07-26,212.0
Prince George's County,1980-07-27,119.0
Prince George's County,1980-07-29,126.0
Prince George's County,1980-07-30,182.0
Prince George's County,1980-07-31,226.0
Prince George's County,1980-08-01,115.0
Prince George's County,1980-08-02,207.0
Prince George's County,1980-08-03,174.0
Prince George's County,1980-08-04,119.0
Prince George's County,1980-08-05,253.0
Prince George's County,1980-08-06,119.0
Prince George's County,1980-08-07,215.0
Prince George's County,1980-08-08,216.0
Prince George's County,1980-08-09,161.0
Prince George's County,1980-08-10,177.0
Prince George's County,1980-08-11,185.0
Prince George's County,1980-08-12,97.0
Prince George's County,1980-08-13,164.0
Prince George's County,1980-08-14,221.0
Prince George's County,1980-08-15,61.0
Prince George's County,1980-08-16,54.0
Prince George's County,1980-08-17,84.0
Prince George's County,1980-08-18,58.0
Prince George's County,1980-08-19,73.0
Prince George's County,1980-08-20,133.0
Prince George's County,1980-08-22,51.0
Prince George's County,1980-08-23,133.0
Prince George's County,1980-08-24,182.0
Prince George's County,1980-08-25,84.0
Prince George's County,1980-08-26,201.0
Prince George's County,1980-08-27,177.0
Prince George's County,1980-08-28,217.0
Prince George's County,1980-08-29,169.0
Prince George's County,1980-08-30,54.0
Prince George's County,1980-08-31,108.0
Prince George's County,1980-09-01,147.0
Prince George's County,1980-09-02,119.0
Prince George's County,1980-09-03,100.0
Prince George's County,1980-09-04,172.0
Prince George's County,1980-09-05,67.0
Prince George's County,1980-09-06,156.0
Prince George's County,1980-09-07,54.0
Prince George's County,1980-09-08,112.0
Prince George's County,1980-09-09,150.0
Prince George's County,1980-09-11,64.0
Prince George's County,1980-09-12,195.0
Prince George's County,1980-09-13,143.0
Prince George's County,1980-09-14,172.0
Prince George's County,1980-09-15,42.0
Prince George's County,1980-09-16,46.0
Prince George's County,1980-09-17,112.0
Prince George's County,1980-09-18,37.0
Prince George's County,1980-09-19,56.0
Prince George's County,1980-09-20,74.0
Prince George's County,1980-09-21,64.0
Prince George's County,1980-09-22,143.0
Prince George's County,1980-09-25,51.0
Prince George's County,1980-09-26,40.0
Prince George's County,1980-09-27,55.0
Prince George's County,1980-09-29,71.0
Prince George's County,1980-09-30,46.0
Prince George's County,1980-10-01,71.0
Prince George's County,1980-10-02,42.0
Prince George's County,1980-10-03,33.0
Prince George's County,1980-10-04,33.0
Prince George's County,1980-10-05,30.0
Prince George's County,1980-10-06,35.0
Prince George's County,1980-10-07,32.0
Prince George's County,1980-10-08,84.0
Prince George's County,1980-10-09,101.0
Prince George's County,1980-10-10,41.0
Prince George's County,1980-10-11,31.0
Prince George's County,1980-10-12,23.0
Prince George's County,1980-10-13,25.0
Prince George's County,1980-10-14,26.0
Prince George's County,1980-10-22,17.0
Prince George's County,1980-10-24,18.0
Prince George's County,1980-10-25,19.0
Prince George's County,1980-10-26,19.0
Prince George's County,1980-10-27,30.0
Prince George's County,1980-10-28,43.0
Prince George's County,1980-10-29,36.0
Prince George's County,1980-10-30,57.0
Prince George's County,1980-10-31,67.0
Prince George's County,1980-11-01,55.0
Prince George's County,1980-11-02,76.0
Prince George's County,1980-11-03,26.0
Prince George's County,1980-11-04,38.0
Prince George's County,1980-11-05,35.0
Prince George's County,1980-11-06,37.0
Prince George's County,1980-11-07,45.0
Prince George's County,1980-11-08,41.0
Prince George's County,1980-11-09,49.0
Prince George's County,1980-11-10,35.0
Prince George's County,1980-11-11,39.0
Prince George's County,1980-11-12,34.0
Prince George's County,1980-11-13,42.0
Prince George's County,1980-11-14,72.0
Prince George's County,1980-11-15,63.0
Prince George's County,1980-11-16,36.0
Prince George's County,1980-11-17,33.0
Prince George's County,1980-11-18,37.0
Prince George's County,1980-11-19,29.0
Prince George's County,1980-11-20,37.0
Prince George's County,1980-11-21,71.0
Prince George's County,1980-11-22,33.0
Prince George's County,1980-11-23,65.0
Prince George's County,1980-11-24,25.0
Prince George's County,1980-11-25,25.0
Prince George's County,1980-11-26,37.0
Prince George's County,1980-11-27,33.0
Prince George's County,1980-11-28,30.0
Prince George's County,1980-11-29,25.0
Prince George's County,1980-11-30,32.0
Prince George's County,1980-12-01,43.0
Prince George's County,1980-12-02,42.0
Prince George's County,1980-12-03,42.0
Prince George's County,1980-12-04,38.0
Prince George's County,1980-12-05,35.0
Prince George's County,1980-12-06,38.0
Prince George's County,1980-12-09,7.0
Prince George's County,1980-12-10,25.0
Prince George's County,1980-12-11,24.0
Prince George's County,1980-12-12,78.0
Prince George's County,1980-12-13,40.0
Prince George's County,1980-12-14,29.0
Prince George's County,1980-12-17,34.0
Prince George's County,1980-12-18,35.0
Prince George's County,1980-12-19,31.0
Prince George's County,1980-12-20,26.0
Prince George's County,1980-12-21,29.0
Prince George's County,1980-12-22,35.0
Prince George's County,1980-12-23,83.0
Prince George's County,1980-12-24,54.0
Prince George's County,1980-12-25,44.0
Prince George's County,1980-12-26,31.0
Prince George's County,1980-12-27,42.0
Prince George's County,1980-12-28,45.0
Prince George's County,1980-12-29,32.0
Prince George's County,1980-12-30,36.0
Prince George's County,1980-12-31,28.0
Prince George's County,1981-01-01,28.0
Prince George's County,1981-01-02,32.0
Prince George's County,1981-01-03,34.0
Prince George's County,1981-01-06,47.0
Prince George's County,1981-01-07,34.0
Prince George's County,1981-01-08,34.0
Prince George's County,1981-01-09,36.0
Prince George's County,1981-01-10,36.0
Prince George's County,1981-01-11,29.0
Prince George's County,1981-01-12,35.0
Prince George's County,1981-01-13,42.0
Prince George's County,1981-01-14,47.0
Prince George's County,1981-01-15,63.0
Prince George's County,1981-01-16,70.0
Prince George's County,1981-01-17,29.0
Prince George's County,1981-01-18,35.0
Prince George's County,1981-01-19,46.0
Prince George's County,1981-01-20,50.0
Prince George's County,1981-01-21,58.0
Prince George's County,1981-01-22,38.0
Prince George's County,1981-01-23,31.0
Prince George's County,1981-01-24,39.0
Prince George's County,1981-01-25,40.0
Prince George's County,1981-01-26,52.0
Prince George's County,1981-01-27,47.0
Prince George's County,1981-01-28,33.0
Prince George's County,1981-01-29,29.0
Prince George's County,1981-01-30,30.0
Prince George's County,1981-01-31,31.0
Prince George's County,1981-02-01,32.0
Prince George's County,1981-02-02,33.0
Prince George's County,1981-02-03,28.0
Prince George's County,1981-02-04,26.0
Prince George's County,1981-02-06,45.0
Prince George's County,1981-02-07,46.0
Prince George's County,1981-02-08,45.0
Prince George's County,1981-02-09,32.0
Prince George's County,1981-02-10,36.0
Prince George's County,1981-02-11,33.0
Prince George's County,1981-02-12,29.0
Prince George's County,1981-02-13,26.0
Prince George's County,1981-02-14,58.0
Prince George's County,1981-02-15,46.0
Prince George's County,1981-02-16,44.0
Prince George's County,1981-02-17,36.0
Prince George's County,1981-02-18,36.0
Prince George's County,1981-02-19,28.0
Prince George's County,1981-02-20,37.0
Prince George's County,1981-02-21,29.0
Prince George's County,1981-02-22,25.0
Prince George's County,1981-02-23,42.0
Prince George's County,1981-02-24,46.0
Prince George's County,1981-02-25,26.0
Prince George's County,1981-02-26,31.0
Prince George's County,1981-02-27,62.0
Prince George's County,1981-02-28,93.0
Prince George's County,1981-03-01,52.0
Prince George's County,1981-03-02,34.0
Prince George's County,1981-03-03,93.0
Prince George's County,1981-03-04,87.0
Prince George's County,1981-03-05,48.0
Prince George's County,1981-03-06,49.0
Prince George's County,1981-03-07,35.0
Prince George's County,1981-03-08,29.0
Prince George's County,1981-03-09,41.0
Prince George's County,1981-03-10,43.0
Prince George's County,1981-03-11,102.0
Prince George's County,1981-03-12,48.0
Prince George's County,1981-03-13,71.0
Prince George's County,1981-03-14,41.0
Prince George's County,1981-03-15,46.0
Prince George's County,1981-03-16,54.0
Prince George's County,1981-03-17,85.0
Prince George's County,1981-03-18,78.0
Prince George's County,1981-03-19,32.0
Prince George's County,1981-03-20,31.0
Prince George's County,1981-03-21,45.0
Prince George's County,1981-03-22,58.0
Prince George's County,1981-03-23,39.0
Prince George's County,1981-03-24,50.0
Prince George's County,1981-03-25,44.0
Prince George's County,1981-03-26,64.0
Prince George's County,1981-03-27,48.0
Prince George's County,1981-03-28,64.0
Prince George's County,1981-03-29,126.0
Prince George's County,1981-03-30,48.0
Prince George's County,1981-03-31,77.0
Prince George's County,1981-04-01,51.0
Prince George's County,1981-04-02,47.0
Prince George's County,1981-04-03,90.0
Prince George's County,1981-04-04,64.0
Prince George's County,1981-04-05,39.0
Prince George's County,1981-04-06,35.0
Prince George's County,1981-04-07,42.0
Prince George's County,1981-04-08,126.0
Prince George's County,1981-04-09,48.0
Prince George's County,1981-04-10,47.0
Prince George's County,1981-04-11,42.0
Prince George's County,1981-04-12,43.0
Prince George's County,1981-04-13,37.0
Prince George's County,1981-04-14,41.0
Prince George's County,1981-04-15,34.0
Prince George's County,1981-04-16,74.0
Prince George's County,1981-04-17,43.0
Prince George's County,1981-04-18,77.0
Prince George's County,1981-04-19,44.0
Prince George's County,1981-04-20,44.0
Prince George's County,1981-04-21,103.0
Prince George's County,1981-04-22,32.0
Prince George's County,1981-04-23,43.0
Prince George's County,1981-04-24,46.0
Prince George's County,1981-04-25,41.0
Prince George's County,1981-04-26,49.0
Prince George's County,1981-04-27,67.0
Prince George's County,1981-04-28,100.0
Prince George's County,1981-04-29,71.0
Prince George's County,1981-04-30,35.0
Prince George's County,1981-05-01,73.0
Prince George's County,1981-05-02,43.0
Prince George's County,1981-05-03,60.0
Prince George's County,1981-05-04,62.0
Prince George's County,1981-05-05,43.0
Prince George's County,1981-05-06,43.0
Prince George's County,1981-05-07,43.0
Prince George's County,1981-05-08,80.0
Prince George's County,1981-05-09,51.0
Prince George's County,1981-05-10,34.0
Prince George's County,1981-05-11,49.0
Prince George's County,1981-05-12,32.0
Prince George's County,1981-05-13,55.0
Prince George's County,1981-05-14,169.0
Prince George's County,1981-05-15,37.0
Prince George's County,1981-05-16,32.0
Prince George's County,1981-05-17,51.0
Prince George's County,1981-05-18,37.0
Prince George's County,1981-05-19,32.0
Prince George's County,1981-05-20,64.0
Prince George's County,1981-05-21,122.0
Prince George's County,1981-05-22,156.0
Prince George's County,1981-05-23,105.0
Prince George's County,1981-05-24,156.0
Prince George's County,1981-05-25,224.0
Prince George's County,1981-05-26,150.0
Prince George's County,1981-05-27,90.0
Prince George's County,1981-05-28,34.0
Prince George's County,1981-05-29,74.0
Prince George's County,1981-05-30,136.0
Prince George's County,1981-05-31,46.0
Prince George's County,1981-06-01,41.0
Prince George's County,1981-06-02,46.0
Prince George's County,1981-06-03,36.0
Prince George's County,1981-06-04,48.0
Prince George's County,1981-06-05,129.0
Prince George's County,1981-06-06,42.0
Prince George's County,1981-06-07,61.0
Prince George's County,1981-06-08,112.0
Prince George's County,1981-06-09,50.0
Prince George's County,1981-06-10,42.0
Prince George's County,1981-06-11,48.0
Prince George's County,1981-06-12,101.0
Prince George's County,1981-06-13,150.0
Prince George's County,1981-06-14,47.0
Prince George's County,1981-06-15,74.0
Prince George's County,1981-06-16,147.0
Prince George's County,1981-06-17,50.0
Prince George's County,1981-06-18,140.0
Prince George's County,1981-06-19,61.0
Prince George's County,1981-06-20,47.0
Prince George's County,1981-06-21,122.0
Prince George's County,1981-06-22,50.0
Prince George's County,1981-06-23,22.0
Prince George's County,1981-06-24,133.0
Prince George's County,1981-06-25,129.0
Prince George's County,1981-06-26,38.0
Prince George's County,1981-06-27,43.0
Prince George's County,1981-06-28,101.0
Prince George's County,1981-06-29,172.0
Prince George's County,1981-06-30,182.0
Prince George's County,1981-07-01,48.0
Prince George's County,1981-07-02,41.0
Prince George's County,1981-07-03,25.0
Prince George's County,1981-07-04,23.0
Prince George's County,1981-07-05,46.0
Prince George's County,1981-07-06,46.0
Prince George's County,1981-07-07,129.0
Prince George's County,1981-07-08,206.0
Prince George's County,1981-07-09,126.0
Prince George's County,1981-07-10,93.0
Prince George's County,1981-07-11,140.0
Prince George's County,1981-07-12,205.0
Prince George's County,1981-07-13,192.0
Prince George's County,1981-07-14,100.0
Prince George's County,1981-07-15,48.0
Prince George's County,1981-07-16,39.0
Prince George's County,1981-07-17,221.0
