Location,Year,Population
"Prince George's County, MD",2000,
"Prince George's County, MD",2001,
"Prince George's County, MD",2002,
"Prince George's County, MD",2003,
"Prince George's County, MD",2004,
"Prince George's County, MD",2005,
"Prince George's County, MD",2006,
"Prince George's County, MD",2007,
"Prince George's County, MD",2008,
"Prince George's County, MD",2009,
"Prince George's County, MD",2010,
"Prince George's County, MD",2011,
"Prince George's County, MD",2012,
"Prince George's County, MD",2013,
"Prince George's County, MD",2014,
"Prince George's County, MD",2015,
"Prince George's County, MD",2016,
"Prince George's County, MD",2017,
"Prince George's County, MD",2018,
"Prince George's County, MD",2019,
"Prince George's County, MD",2020,
"Prince George's County, MD",2021,
"Prince George's County, MD",2022,
"Prince George's County, MD",2023,
