Location,Year,Temperature_Change
"Prince George's County, MD",2000,
"Prince George's County, MD",2001,
"Prince George's County, MD",2002,
"Prince George's County, MD",2003,
"Prince George's County, MD",2004,
"Prince George's County, MD",2005,
"Prince George's County, MD",2006,
"Prince George's County, MD",2007,-0.09174341666666685
"Prince George's County, MD",2008,-0.01851658333333317
"Prince George's County, MD",2009,-0.010215583333332981
"Prince George's County, MD",2010,-0.37375883333333365
"Prince George's County, MD",2011,0.7231218333333332
"Prince George's County, MD",2012,1.157816416666667
"Prince George's County, MD",2013,1.8915911666666665
"Prince George's County, MD",2014,0.18556241666666665
"Prince George's County, MD",2015,0.3228199166666662
"Prince George's County, MD",2016,0.7348479166666663
"Prince George's County, MD",2017,1.6092042499999997
"Prince George's County, MD",2018,1.3293965833333334
"Prince George's County, MD",2019,0.07760383333333298
"Prince George's County, MD",2020,1.3950395833333333
"Prince George's County, MD",2021,1.2241921666666664
"Prince George's County, MD",2022,0.8008064999999999
"Prince George's County, MD",2023,-0.00692741666666663
