Location,Year,Value
"Prince George's County, MD",2000,-0.0917434166666668
"Prince George's County, MD",2001,-0.0917434166666668
"Prince George's County, MD",2002,-0.0917434166666668
"Prince George's County, MD",2003,-0.0917434166666668
"Prince George's County, MD",2004,-0.0917434166666668
"Prince George's County, MD",2005,-0.0917434166666668
"Prince George's County, MD",2006,-0.0917434166666668
"Prince George's County, MD",2007,-0.0917434166666668
"Prince George's County, MD",2008,-0.0185165833333331
"Prince George's County, MD",2009,-0.0102155833333329
"Prince George's County, MD",2010,-0.3737588333333336
"Prince George's County, MD",2011,0.7231218333333332
"Prince George's County, MD",2012,1.157816416666667
"Prince George's County, MD",2013,1.8915911666666665
"Prince George's County, MD",2014,0.1855624166666666
"Prince George's County, MD",2015,0.3228199166666662
"Prince George's County, MD",2016,0.7348479166666663
"Prince George's County, MD",2017,1.6092042499999997
"Prince George's County, MD",2018,1.3293965833333334
"Prince George's County, MD",2019,0.0776038333333329
"Prince George's County, MD",2020,1.395039583333333
"Prince George's County, MD",2021,1.2241921666666664
"Prince George's County, MD",2022,0.8008064999999999
"Prince George's County, MD",2023,-0.0069274166666666
