"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-01","BLS_LAUS","https://www.bls.gov/lau/","","","",112492,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-02","BLS_LAUS","https://www.bls.gov/lau/","","","",112918,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-03","BLS_LAUS","https://www.bls.gov/lau/","","","",114038,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-04","BLS_LAUS","https://www.bls.gov/lau/","","","",113608,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-05","BLS_LAUS","https://www.bls.gov/lau/","","","",115353,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-06","BLS_LAUS","https://www.bls.gov/lau/","","","",116771,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-07","BLS_LAUS","https://www.bls.gov/lau/","","","",118054,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-08","BLS_LAUS","https://www.bls.gov/lau/","","","",116383,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-09","BLS_LAUS","https://www.bls.gov/lau/","","","",113665,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-10","BLS_LAUS","https://www.bls.gov/lau/","","","",114110,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-11","BLS_LAUS","https://www.bls.gov/lau/","","","",113714,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1990-12","BLS_LAUS","https://www.bls.gov/lau/","","","",114188,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1991-01","BLS_LAUS","https://www.bls.gov/lau/","","","",113817,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1991-02","BLS_LAUS","https://www.bls.gov/lau/","","","",113806,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1991-03","BLS_LAUS","https://www.bls.gov/lau/","","","",114807,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1991-04","BLS_LAUS","https://www.bls.gov/lau/","","","",115406,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1991-05","BLS_LAUS","https://www.bls.gov/lau/","","","",115895,"Population With Current Employment"
"geoId/51153","","Prince William County","Count_Person_Employed","1991-06","BLS_LAUS","https://www.bls.gov/lau/","","","",118003,"Population With Current Employment"
