"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/51153","","Prince William County","Count_Person","1970","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",93240,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1971","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",100900,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1972","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",107300,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1973","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",116900,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1974","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",123000,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1975","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",127900,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1976","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",130000,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1977","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",134000,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1978","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",140500,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1979","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",142800,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1980","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",144636,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1981","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",153270,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1982","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",158130,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1983","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",161657,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1984","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",167164,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1985","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",174067,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1986","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",181935,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1987","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",191570,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1988","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",202079,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1989","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",211064,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1990","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",214954,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1991","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",216540,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1992","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",221284,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1993","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",227384,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1994","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",232900,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1995","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",238215,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1996","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",242718,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1997","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",250892,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1998","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",255786,"Total Population"
"geoId/51153","","Prince William County","Count_Person","1999","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",262414,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2000","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",284565,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2001","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",298843,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2002","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",311749,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2003","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",323377,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2004","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",337439,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2005","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",350612,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2006","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",359174,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2007","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",368016,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2008","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",374776,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2009","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",389001,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2010","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",406183,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2011","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",419149,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2012","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",429716,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2013","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",437900,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2014","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",444004,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2015","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",451242,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2016","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",456805,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2017","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",463400,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2018","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",466658,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2019","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",471774,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2020","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",475533,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2021","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",484472,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2022","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",487012,"Total Population"
"geoId/51153","","Prince William County","Count_Person","2023","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",489640,"Total Population"
