"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-01","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.379914,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-02","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.759552,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-03","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",0.619629000000002,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-04","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",3.223358,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-05","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.137084,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-06","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-0.199646000000001,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-07","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",2.680815,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-08","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",1.72699,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-09","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",0.454650000000001,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-10","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",2.571625,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-11","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.746277,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2007-12","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-5.150696,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-01","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-3.06836,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-02","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",4.085511,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-03","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",3.673798,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-04","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.169129,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-05","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.321014,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-06","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",1.73822,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-07","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",1.802641,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-08","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-0.248199,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-09","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",2.7966,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-10","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",0.946777999999998,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-11","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.954529,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2008-12","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-5.708344,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-01","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.920899,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-02","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",1.997986,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-03","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",3.322937,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-04","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",0.762084999999999,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-05","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",1.465271,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-06","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.714843,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-07","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",0.635985999999999,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-08","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",1.047424,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-09","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",0.460846,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-10","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-0.336090000000002,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-11","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-3.479615,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2009-12","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-1.987213,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2010-01","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-0.558167,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2010-02","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",2.564881,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2010-03","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",2.871094,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
"geoId/51153","","Prince William County","DifferenceRelativeToBaseDate2006_Max_Temperature_RCP26","2010-04","NASA_NEXDCP30_AggrDiffStats","https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30","","Celsius","C",-0.518097000000001,"Difference in Maximum Temperature Relative to the Base Date 2006 for RCP 2.6 Scenario"
