Location,Date,AQI
Prince William County,1980-06-01,90.0
Prince William County,1980-06-02,64.0
Prince William County,1980-06-03,49.0
Prince William County,1980-06-04,51.0
Prince William County,1980-06-05,84.0
Prince William County,1980-06-06,64.0
Prince William County,1980-06-07,108.0
Prince William County,1980-06-08,61.0
Prince William County,1980-06-09,49.0
Prince William County,1980-06-10,46.0
Prince William County,1980-06-11,84.0
Prince William County,1980-06-12,97.0
Prince William County,1980-06-13,174.0
Prince William County,1980-06-14,161.0
Prince William County,1980-06-15,133.0
Prince William County,1980-06-16,31.0
Prince William County,1980-06-17,87.0
Prince William County,1980-06-18,119.0
Prince William County,1980-06-19,143.0
Prince William County,1980-06-20,54.0
Prince William County,1980-06-21,71.0
Prince William County,1980-06-22,93.0
Prince William County,1980-06-23,166.0
Prince William County,1980-06-24,101.0
Prince William County,1980-06-25,100.0
Prince William County,1980-06-26,100.0
Prince William County,1980-06-27,105.0
Prince William County,1980-06-28,177.0
Prince William County,1980-06-29,93.0
Prince William County,1980-06-30,58.0
Prince William County,1980-07-01,105.0
Prince William County,1980-07-02,185.0
Prince William County,1980-07-03,61.0
Prince William County,1980-07-04,182.0
Prince William County,1980-07-05,80.0
Prince William County,1980-07-06,58.0
Prince William County,1980-07-07,97.0
Prince William County,1980-07-08,44.0
Prince William County,1980-07-09,90.0
Prince William County,1980-07-10,84.0
Prince William County,1980-07-11,154.0
Prince William County,1980-07-12,126.0
Prince William County,1980-07-13,108.0
Prince William County,1980-07-14,150.0
Prince William County,1980-07-15,100.0
Prince William County,1980-07-17,71.0
Prince William County,1980-07-18,105.0
Prince William County,1980-07-22,49.0
Prince William County,1980-07-23,35.0
Prince William County,1980-07-24,90.0
Prince William County,1980-07-25,105.0
Prince William County,1980-07-26,150.0
Prince William County,1980-07-27,51.0
Prince William County,1980-07-28,36.0
Prince William County,1980-07-29,87.0
Prince William County,1980-07-30,112.0
Prince William County,1980-07-31,5.0
Prince William County,1980-08-01,5.0
Prince William County,1980-08-02,126.0
Prince William County,1980-08-03,90.0
Prince William County,1980-08-04,100.0
Prince William County,1980-08-06,54.0
Prince William County,1980-08-07,119.0
Prince William County,1980-08-08,87.0
Prince William County,1980-08-09,93.0
Prince William County,1980-08-10,126.0
Prince William County,1980-08-11,77.0
Prince William County,1980-08-12,74.0
Prince William County,1980-08-13,97.0
Prince William County,1980-08-14,136.0
Prince William County,1980-08-15,48.0
Prince William County,1980-08-16,41.0
Prince William County,1980-08-17,37.0
Prince William County,1980-08-18,40.0
Prince William County,1980-08-19,29.0
Prince William County,1980-08-20,100.0
Prince William County,1980-08-21,47.0
Prince William County,1980-08-22,44.0
Prince William County,1980-08-23,54.0
Prince William County,1980-08-24,80.0
Prince William County,1980-08-25,159.0
Prince William County,1980-08-26,129.0
Prince William County,1980-08-27,119.0
Prince William County,1980-08-28,172.0
Prince William County,1980-08-30,49.0
Prince William County,1980-08-31,74.0
Prince William County,1990-11-07,20.0
Prince William County,1990-11-13,10.0
Prince William County,1990-11-19,22.0
Prince William County,1990-11-25,10.0
Prince William County,1990-12-01,18.0
Prince William County,1990-12-07,41.0
Prince William County,1990-12-13,23.0
Prince William County,1990-12-19,13.0
Prince William County,1990-12-25,19.0
Prince William County,1990-12-31,34.0
Prince William County,1991-01-06,30.0
Prince William County,1991-01-12,16.0
Prince William County,1991-01-18,19.0
Prince William County,1991-01-24,16.0
Prince William County,1991-01-30,19.0
Prince William County,1991-02-05,28.0
Prince William County,1991-02-11,11.0
Prince William County,1991-02-17,15.0
Prince William County,1991-02-23,9.0
Prince William County,1991-03-01,25.0
Prince William County,1991-03-07,13.0
Prince William County,1991-03-13,26.0
Prince William County,1991-03-19,14.0
Prince William County,1991-03-25,15.0
Prince William County,1991-03-31,17.0
Prince William County,1991-04-01,32.0
Prince William County,1991-04-02,38.0
Prince William County,1991-04-03,37.0
Prince William County,1991-04-04,64.0
Prince William County,1991-04-05,28.0
Prince William County,1991-04-06,80.0
Prince William County,1991-04-07,90.0
Prince William County,1991-04-08,51.0
Prince William County,1991-04-09,43.0
Prince William County,1991-04-10,40.0
Prince William County,1991-04-11,43.0
Prince William County,1991-04-12,38.0
Prince William County,1991-04-13,32.0
Prince William County,1991-04-14,32.0
Prince William County,1991-04-15,26.0
Prince William County,1991-04-16,51.0
Prince William County,1991-04-17,87.0
Prince William County,1991-04-18,46.0
Prince William County,1991-04-19,42.0
Prince William County,1991-04-20,34.0
Prince William County,1991-04-21,21.0
Prince William County,1991-04-22,34.0
Prince William County,1991-04-23,50.0
Prince William County,1991-04-24,39.0
Prince William County,1991-04-25,80.0
Prince William County,1991-04-26,105.0
Prince William County,1991-04-27,51.0
Prince William County,1991-04-28,48.0
Prince William County,1991-04-29,35.0
Prince William County,1991-04-30,28.0
Prince William County,1991-05-01,77.0
Prince William County,1991-05-02,46.0
Prince William County,1991-05-03,39.0
Prince William County,1991-05-04,41.0
Prince William County,1991-05-05,50.0
Prince William County,1991-05-06,39.0
Prince William County,1991-05-07,43.0
Prince William County,1991-05-08,61.0
Prince William County,1991-05-09,30.0
