Location,Year,Temperature_Change
"Prince William County, VA",2000,
"Prince William County, VA",2001,
"Prince William County, VA",2002,
"Prince William County, VA",2003,
"Prince William County, VA",2004,
"Prince William County, VA",2005,
"Prince William County, VA",2006,
"Prince William County, VA",2007,-0.008008499999999863
"Prince William County, VA",2008,0.13116441666666656
"Prince William County, VA",2009,0.02115624999999971
"Prince William County, VA",2010,-0.22283191666666657
"Prince William County, VA",2011,0.8972195
"Prince William County, VA",2012,1.322255
"Prince William County, VA",2013,1.9567586666666665
"Prince William County, VA",2014,0.37263241666666685
"Prince William County, VA",2015,0.5200752500000002
"Prince William County, VA",2016,0.8178582500000001
"Prince William County, VA",2017,1.747291083333333
"Prince William County, VA",2018,1.4889780833333333
"Prince William County, VA",2019,0.13689166666666644
"Prince William County, VA",2020,1.5414401666666662
"Prince William County, VA",2021,1.2724374999999997
"Prince William County, VA",2022,1.0022349166666664
"Prince William County, VA",2023,0.11972799999999968
