Location,Year,Temperature
"Prince William County, VA",2000,
"Prince William County, VA",2001,
"Prince William County, VA",2002,
"Prince William County, VA",2003,
"Prince William County, VA",2004,
"Prince William County, VA",2005,
"Prince William County, VA",2006,
"Prince William County, VA",2007,
"Prince William County, VA",2008,
"Prince William County, VA",2009,
"Prince William County, VA",2010,
"Prince William County, VA",2011,
"Prince William County, VA",2012,
"Prince William County, VA",2013,
"Prince William County, VA",2014,
"Prince William County, VA",2015,
"Prince William County, VA",2016,
"Prince William County, VA",2017,
"Prince William County, VA",2018,
"Prince William County, VA",2019,
"Prince William County, VA",2020,
"Prince William County, VA",2021,
"Prince William County, VA",2022,
"Prince William County, VA",2023,
