Location,Year,Value
"Prince William County, VA",2000,-0.0080084999999998
"Prince William County, VA",2001,-0.0080084999999998
"Prince William County, VA",2002,-0.0080084999999998
"Prince William County, VA",2003,-0.0080084999999998
"Prince William County, VA",2004,-0.0080084999999998
"Prince William County, VA",2005,-0.0080084999999998
"Prince William County, VA",2006,-0.0080084999999998
"Prince William County, VA",2007,-0.0080084999999998
"Prince William County, VA",2008,0.1311644166666665
"Prince William County, VA",2009,0.0211562499999997
"Prince William County, VA",2010,-0.2228319166666665
"Prince William County, VA",2011,0.8972195
"Prince William County, VA",2012,1.322255
"Prince William County, VA",2013,1.9567586666666663
"Prince William County, VA",2014,0.3726324166666668
"Prince William County, VA",2015,0.5200752500000002
"Prince William County, VA",2016,0.8178582500000001
"Prince William County, VA",2017,1.747291083333333
"Prince William County, VA",2018,1.4889780833333333
"Prince William County, VA",2019,0.1368916666666664
"Prince William County, VA",2020,1.5414401666666662
"Prince William County, VA",2021,1.2724374999999997
"Prince William County, VA",2022,1.0022349166666664
"Prince William County, VA",2023,0.1197279999999996
