"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/11001","","District of Columbia","Median_Income_Household","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",61835,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",64267,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",65830,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",69235,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",70848,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",72935,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",77649,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",82604,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",86420,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",90842,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",93547,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",101722,"Median Income for All Households"
"geoId/11001","","District of Columbia","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",106287,"Median Income for All Households"
