"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-01","BLS_LAUS","https://www.bls.gov/lau/","","","",301582,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-02","BLS_LAUS","https://www.bls.gov/lau/","","","",303869,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-03","BLS_LAUS","https://www.bls.gov/lau/","","","",304413,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-04","BLS_LAUS","https://www.bls.gov/lau/","","","",305925,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-05","BLS_LAUS","https://www.bls.gov/lau/","","","",301429,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-06","BLS_LAUS","https://www.bls.gov/lau/","","","",307348,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-07","BLS_LAUS","https://www.bls.gov/lau/","","","",311141,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-08","BLS_LAUS","https://www.bls.gov/lau/","","","",307317,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-09","BLS_LAUS","https://www.bls.gov/lau/","","","",294976,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-10","BLS_LAUS","https://www.bls.gov/lau/","","","",299863,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-11","BLS_LAUS","https://www.bls.gov/lau/","","","",299652,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1976-12","BLS_LAUS","https://www.bls.gov/lau/","","","",300157,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-01","BLS_LAUS","https://www.bls.gov/lau/","","","",294998,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-02","BLS_LAUS","https://www.bls.gov/lau/","","","",297501,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-03","BLS_LAUS","https://www.bls.gov/lau/","","","",296391,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-04","BLS_LAUS","https://www.bls.gov/lau/","","","",299187,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-05","BLS_LAUS","https://www.bls.gov/lau/","","","",296703,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-06","BLS_LAUS","https://www.bls.gov/lau/","","","",301448,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-07","BLS_LAUS","https://www.bls.gov/lau/","","","",304137,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-08","BLS_LAUS","https://www.bls.gov/lau/","","","",301372,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-09","BLS_LAUS","https://www.bls.gov/lau/","","","",294636,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-10","BLS_LAUS","https://www.bls.gov/lau/","","","",300741,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-11","BLS_LAUS","https://www.bls.gov/lau/","","","",301942,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1977-12","BLS_LAUS","https://www.bls.gov/lau/","","","",305003,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-01","BLS_LAUS","https://www.bls.gov/lau/","","","",301889,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-02","BLS_LAUS","https://www.bls.gov/lau/","","","",302707,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-03","BLS_LAUS","https://www.bls.gov/lau/","","","",303903,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-04","BLS_LAUS","https://www.bls.gov/lau/","","","",306284,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-05","BLS_LAUS","https://www.bls.gov/lau/","","","",302943,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-06","BLS_LAUS","https://www.bls.gov/lau/","","","",310587,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-07","BLS_LAUS","https://www.bls.gov/lau/","","","",315607,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-08","BLS_LAUS","https://www.bls.gov/lau/","","","",312545,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-09","BLS_LAUS","https://www.bls.gov/lau/","","","",304201,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-10","BLS_LAUS","https://www.bls.gov/lau/","","","",308839,"Population With Current Employment"
"geoId/11","US-DC","District of Columbia","Count_Person_Employed","1978-11","BLS_LAUS","https://www.bls.gov/lau/","","","",308911,"Population With Current Employment"
