Location,Year,AQI
"Washington, DC",2000,
"Washington, DC",2001,
"Washington, DC",2002,
"Washington, DC",2003,
"Washington, DC",2004,
"Washington, DC",2005,
"Washington, DC",2006,
"Washington, DC",2007,
"Washington, DC",2008,
"Washington, DC",2009,
"Washington, DC",2010,
"Washington, DC",2011,
"Washington, DC",2012,
"Washington, DC",2013,
"Washington, DC",2014,
"Washington, DC",2015,
"Washington, DC",2016,
"Washington, DC",2017,
"Washington, DC",2018,
"Washington, DC",2019,
"Washington, DC",2020,
"Washington, DC",2021,
"Washington, DC",2022,
"Washington, DC",2023,
