Location,Date,AQI
District of Columbia,1980-01-01,64.0
District of Columbia,1980-01-02,42.0
District of Columbia,1980-01-03,64.0
District of Columbia,1980-01-04,62.0
District of Columbia,1980-01-05,26.0
District of Columbia,1980-01-06,24.0
District of Columbia,1980-01-07,38.0
District of Columbia,1980-01-08,43.0
District of Columbia,1980-01-09,50.0
District of Columbia,1980-01-10,34.0
District of Columbia,1980-01-11,64.0
District of Columbia,1980-01-12,27.0
District of Columbia,1980-01-13,18.0
District of Columbia,1980-01-14,30.0
District of Columbia,1980-01-15,24.0
District of Columbia,1980-01-16,50.0
District of Columbia,1980-01-17,39.0
District of Columbia,1980-01-18,40.0
District of Columbia,1980-01-19,13.0
District of Columbia,1980-01-20,14.0
District of Columbia,1980-01-21,78.0
District of Columbia,1980-01-22,47.0
District of Columbia,1980-01-23,17.0
District of Columbia,1980-01-24,28.0
District of Columbia,1980-01-25,65.0
District of Columbia,1980-01-26,52.0
District of Columbia,1980-01-27,17.0
District of Columbia,1980-01-28,19.0
District of Columbia,1980-01-29,15.0
District of Columbia,1980-01-30,20.0
District of Columbia,1980-01-31,16.0
District of Columbia,1980-02-01,19.0
District of Columbia,1980-02-02,18.0
District of Columbia,1980-02-03,18.0
District of Columbia,1980-02-04,14.0
District of Columbia,1980-02-05,35.0
District of Columbia,1980-02-06,43.0
District of Columbia,1980-02-07,14.0
District of Columbia,1980-02-08,17.0
District of Columbia,1980-02-09,17.0
District of Columbia,1980-02-10,19.0
District of Columbia,1980-02-11,38.0
District of Columbia,1980-02-12,34.0
District of Columbia,1980-02-13,31.0
District of Columbia,1980-02-14,44.0
District of Columbia,1980-02-15,26.0
District of Columbia,1980-02-16,23.0
District of Columbia,1980-02-17,19.0
District of Columbia,1980-02-18,22.0
District of Columbia,1980-02-19,47.0
District of Columbia,1980-02-20,61.0
District of Columbia,1980-02-21,26.0
District of Columbia,1980-02-22,38.0
District of Columbia,1980-02-23,17.0
District of Columbia,1980-02-24,16.0
District of Columbia,1980-02-25,25.0
District of Columbia,1980-02-26,18.0
District of Columbia,1980-02-27,22.0
District of Columbia,1980-02-28,30.0
District of Columbia,1980-02-29,27.0
District of Columbia,1980-03-01,16.0
District of Columbia,1980-03-02,11.0
District of Columbia,1980-03-03,39.0
District of Columbia,1980-03-04,69.0
District of Columbia,1980-03-05,59.0
District of Columbia,1980-03-06,27.0
District of Columbia,1980-03-07,38.0
District of Columbia,1980-03-08,39.0
District of Columbia,1980-03-09,39.0
District of Columbia,1980-03-10,34.0
District of Columbia,1980-03-11,18.0
District of Columbia,1980-03-12,30.0
District of Columbia,1980-03-13,20.0
District of Columbia,1980-03-14,28.0
District of Columbia,1980-03-15,40.0
District of Columbia,1980-03-16,40.0
District of Columbia,1980-03-17,24.0
District of Columbia,1980-03-18,30.0
District of Columbia,1980-03-19,30.0
District of Columbia,1980-03-20,32.0
District of Columbia,1980-03-21,27.0
District of Columbia,1980-03-22,24.0
District of Columbia,1980-03-23,33.0
District of Columbia,1980-03-24,36.0
District of Columbia,1980-03-25,35.0
District of Columbia,1980-03-26,29.0
District of Columbia,1980-03-27,34.0
