Location,Date,AQI
Alexandria,2000,47.0
Alexandria,2001,45.0
Alexandria,2002,48.0
Alexandria,2003,42.0
Alexandria,2004,41.0
Alexandria,2005,44.0
Alexandria,2006,40.0
Alexandria,2007,42.0
Alexandria,2008,39.0
Alexandria,2009,37.0
Alexandria,2010,40.0
Alexandria,2011,41.0
Alexandria,2012,38.0
Alexandria,2013,36.0
Alexandria,2014,37.0
Alexandria,2015,35.0
Alexandria,2016,34.0
Alexandria,2017,33.0
Alexandria,2018,32.0
Alexandria,2019,31.0
Alexandria,2020,29.0
Alexandria,2021,30.0
Alexandria,2022,31.0
Alexandria,2023,32.0
Arlington County,2000,46.4
Arlington County,2001,45.8
Arlington County,2002,44.9
Arlington County,2003,43.2
Arlington County,2004,42.8
Arlington County,2005,44.1
Arlington County,2006,43.5
Arlington County,2007,42.9
Arlington County,2008,41.8
Arlington County,2009,39.5
Arlington County,2010,42.3
Arlington County,2011,41.7
Arlington County,2012,40.9
Arlington County,2013,38.6
Arlington County,2014,37.9
Arlington County,2015,36.8
Arlington County,2016,37.2
Arlington County,2017,36.5
Arlington County,2018,35.9
Arlington County,2019,35.2
Arlington County,2020,33.8
Arlington County,2021,34.6
Arlington County,2022,35.1
Arlington County,2023,34.9
District of Columbia,2000,64.4
District of Columbia,2001,68.5
District of Columbia,2002,69.1
District of Columbia,2003,60.6
District of Columbia,2004,59.3
District of Columbia,2005,62.1
District of Columbia,2006,61.3
District of Columbia,2007,60.9
District of Columbia,2008,55.1
District of Columbia,2009,51.0
District of Columbia,2010,58.6
District of Columbia,2011,58.7
District of Columbia,2012,60.2
District of Columbia,2013,50.0
District of Columbia,2014,48.8
District of Columbia,2015,49.8
District of Columbia,2016,49.7
District of Columbia,2017,51.3
District of Columbia,2018,47.3
District of Columbia,2019,48.3
District of Columbia,2020,41.5
District of Columbia,2021,47.5
District of Columbia,2022,47.0
Fairfax County,2000,64.3
Fairfax County,2001,63.9
Fairfax County,2002,62.4
Fairfax County,2003,54.1
Fairfax County,2004,57.3
Fairfax County,2005,54.8
Fairfax County,2006,51.7
Fairfax County,2007,47.7
Fairfax County,2008,43.4
Fairfax County,2009,41.2
Fairfax County,2010,43.8
Fairfax County,2011,42.2
Fairfax County,2012,46.8
Fairfax County,2013,41.4
Fairfax County,2014,40.5
Fairfax County,2015,44.3
Fairfax County,2016,44.3
Fairfax County,2017,44.5
Fairfax County,2018,44.0
Fairfax County,2019,45.1
Fairfax County,2020,40.7
Fairfax County,2021,43.2
Fairfax County,2022,38.7
Fairfax County,2023,41.8
Frederick County,2000,47.4
Frederick County,2001,50.9
Frederick County,2002,50.0
Frederick County,2003,38.1
Frederick County,2004,39.9
Frederick County,2005,47.7
Frederick County,2006,43.8
Frederick County,2007,48.3
Frederick County,2008,44.2
Frederick County,2009,36.2
Frederick County,2010,48.5
Frederick County,2011,43.2
Frederick County,2012,44.4
Frederick County,2013,39.8
Frederick County,2014,37.6
Frederick County,2015,41.1
Frederick County,2016,41.3
Frederick County,2017,40.8
Frederick County,2018,37.9
Frederick County,2019,39.8
Frederick County,2020,37.3
Frederick County,2021,38.8
Frederick County,2022,40.2
Howard County,2014,46.5
