Date,Howard County,Frederick County,Alexandria,Montgomery County,Loudoun County,Prince William County,Arlington County,Prince George's County,Fairfax County,District of Columbia
2014-04-01,37.0,40.0,37.0,47.2,43.0,43.0,37.9,44.0,40.53,39.0
2014-04-02,42.0,38.0,37.0,47.2,38.0,34.0,37.9,39.0,40.53,50.0
2014-04-03,37.0,34.0,37.0,47.2,43.0,43.0,37.9,54.0,40.53,54.0
2014-04-04,32.0,43.0,37.0,47.2,40.0,41.0,37.9,59.0,40.53,56.0
2014-04-05,12.0,44.0,37.0,47.2,43.0,42.0,37.9,44.0,40.53,44.0
2014-04-06,31.0,49.0,37.0,47.2,46.0,46.0,37.9,47.0,40.53,46.0
2014-04-07,45.0,31.0,37.0,47.2,30.0,27.0,37.9,33.0,40.53,36.0
2014-04-08,46.0,44.0,37.0,47.2,45.0,44.0,37.9,46.0,40.53,47.0
2014-04-09,54.0,61.0,37.0,47.2,58.0,51.0,37.9,67.0,40.53,67.0
2014-04-10,50.0,64.0,37.0,47.2,61.0,54.0,37.9,71.0,40.53,58.0
2014-04-11,54.0,48.0,37.0,47.2,58.0,58.0,37.9,77.0,40.53,58.0
2014-04-12,55.0,77.0,37.0,47.2,80.0,77.0,37.9,77.0,40.53,77.0
2014-04-13,64.0,67.0,37.0,47.2,61.0,58.0,37.9,67.0,40.53,61.0
2014-04-14,38.0,43.0,37.0,47.2,42.0,41.0,37.9,44.0,40.53,43.0
2014-04-15,36.0,39.0,37.0,47.2,36.0,35.0,37.9,37.0,40.53,37.0
2014-04-16,36.0,45.0,37.0,47.2,44.0,44.0,37.9,44.0,40.53,45.0
2014-04-17,37.0,47.0,37.0,47.2,44.0,47.0,37.9,46.0,40.53,45.0
2014-04-18,54.0,37.0,37.0,47.2,35.0,38.0,37.9,43.0,40.53,40.0
2014-04-19,54.0,51.0,37.0,47.2,50.0,51.0,37.9,54.0,40.53,58.0
2014-04-20,52.0,54.0,37.0,47.2,48.0,50.0,37.9,47.0,40.53,48.0
2014-04-21,43.0,49.0,37.0,47.2,49.0,54.0,37.9,50.0,40.53,44.0
2014-04-22,57.0,46.0,37.0,47.2,47.0,44.0,37.9,48.0,40.53,48.0
2014-04-23,43.0,42.0,37.0,47.2,38.0,38.0,37.9,37.0,40.53,39.0
2014-04-24,33.0,51.0,37.0,47.2,49.0,44.0,37.9,51.0,40.53,50.0
2014-04-25,54.0,,37.0,47.2,46.0,46.0,37.9,61.0,40.53,53.0
2014-04-26,48.0,,37.0,47.2,50.0,50.0,37.9,51.0,40.53,51.0
2014-04-27,32.0,,37.0,47.2,46.0,46.0,37.9,49.0,40.53,50.0
2014-04-28,39.0,39.0,37.0,47.2,39.0,40.0,37.9,42.0,40.53,40.0
2014-04-29,35.0,36.0,37.0,47.2,37.0,39.0,37.9,38.0,40.53,37.0
2014-04-30,35.0,26.0,37.0,47.2,30.0,30.0,37.9,36.0,40.53,34.0
2014-05-01,38.0,42.0,37.0,47.2,44.0,44.0,37.9,49.0,40.53,47.0
2014-05-02,43.0,47.0,37.0,47.2,45.0,44.0,37.9,49.0,40.53,44.0
2014-05-03,50.0,46.0,37.0,47.2,47.0,46.0,37.9,50.0,40.53,49.0
2014-05-04,39.0,45.0,37.0,47.2,46.0,46.0,37.9,49.0,40.53,49.0
2014-05-05,28.0,,37.0,47.2,41.0,39.0,37.9,45.0,40.53,44.0
2014-05-06,40.0,50.0,37.0,47.2,48.0,47.0,37.9,58.0,40.53,51.0
2014-05-07,55.0,32.0,37.0,47.2,26.0,29.0,37.9,39.0,40.53,40.0
2014-05-08,69.0,49.0,37.0,47.2,64.0,71.0,37.9,71.0,40.53,71.0
